labels,text,expr_emo,prob_expr_emo,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0142892655, 0.037882283, 0.036830854, 0.27771443, 0.4800659, 0.05891967, 0.13060416]",0.4800659
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.638377, 0.81433374, 0.98823696, 0.9007318, 0.004396733, 0.9723662, 0.915268]",0.98823696
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.9511955, 0.86471117, 0.84149426, 0.7449273, 0.0025028416, 0.8538177, 0.9251161]",0.9511955
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.25168732, 0.41575003, 0.41797015, 0.92100596, 0.015598789, 0.9435323, 0.8644422]",0.9435323
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,fear,"[0.9550712, 0.95733774, 0.9710841, 0.9467438, 0.013209488, 0.7967423, 0.9470888]",0.9710841
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,"[0.9271186, 0.8871368, 0.25604352, 0.9032976, 0.0033479435, 0.88787836, 0.83894]",0.9271186
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,shame,"[0.49956217, 0.79196924, 0.96166164, 0.9889916, 0.0044166506, 0.9875136, 0.9916357]",0.9916357
joy,After my girlfriend had taken her exam we went to her parent's place. ,sadness,"[0.42418477, 0.37879083, 0.6675931, 0.72524303, 0.35201186, 0.72780526, 0.64274925]",0.72780526
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.51398015, 0.7953741, 0.8593598, 0.93233293, 0.005924163, 0.9798132, 0.91013926]",0.9798132
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.9688376, 0.83060503, 0.9734891, 0.92150474, 0.01818144, 0.91689026, 0.8974482]",0.9734891
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.21337281, 0.24293527, 0.34408885, 0.7862117, 0.0075355493, 0.7763643, 0.67474407]",0.7862117
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.8228159, 0.89905494, 0.7815099, 0.9231282, 0.54512215, 0.90548104, 0.8983447]",0.9231282
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9923694, 0.5670228, 0.6048693, 0.926255, 0.005214592, 0.13153891, 0.86023045]",0.9923694
