labels,text,feels_emo,prob_feels_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.004792562, 0.0008081996, 0.02529871, 0.988526, 0.0013920771, 0.80457443]",0.988526
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,"[0.930274, 0.94652575, 0.816326, 0.006503441, 0.96182436, 0.8740337]",0.96182436
joy,the moment when you get another follower and you cheer. ,joy,"[0.0013740923, 0.00066903065, 0.076178774, 0.9963386, 0.00071006303, 0.9215311]",0.9963386
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.02877739, 0.010239653, 0.6261216, 0.9327833, 0.026938058, 0.76432157]",0.9327833
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,surprise,"[0.18243966, 0.80090666, 0.7098699, 0.9754514, 0.90041953, 0.9919859]",0.9919859
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.47629565, 0.8127959, 0.89320195, 0.00081448, 0.99667054, 0.45773986]",0.99667054
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.9689034, 0.99789387, 0.9945956, 0.00044657473, 0.9978955, 0.70204926]",0.9978955
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,surprise,"[0.029175874, 0.04788298, 0.49548143, 0.8512929, 0.031407703, 0.99698097]",0.99698097
fear,Making art and viewing art are different at their core! ,surprise,"[0.8947865, 0.58844703, 0.8542946, 0.12218082, 0.39071274, 0.996597]",0.996597
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",anger,"[0.99701905, 0.99416745, 0.9889215, 0.005633921, 0.9948949, 0.99311346]",0.99701905
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",surprise,"[0.9465263, 0.8901533, 0.7826986, 0.101507924, 0.8371946, 0.9759696]",0.9759696
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.92343456, 0.9524865, 0.8671278, 0.8710022, 0.5427717, 0.98462576]",0.98462576
surprise,People know they can pull you down and they dont give a care ,anger,"[0.8590979, 0.51049924, 0.2105276, 0.061407927, 0.21493942, 0.15835936]",0.8590979
