labels,text,feels_emo,prob_feels_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.0016630499, 0.00033991956, 0.47945082, 0.99498004, 0.00064877653, 0.642088]",0.99498004
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",fear,"[0.8575463, 0.6141996, 0.96479565, 0.05372613, 0.8789763, 0.9617116]",0.96479565
joy,the moment when you get another follower and you cheer. ,joy,"[0.0011279634, 0.00040543292, 0.17664164, 0.9979736, 0.00035553047, 0.61366105]",0.9979736
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.0443187, 0.004671528, 0.79020286, 0.9558838, 0.014264887, 0.30708554]",0.9558838
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.7557298, 0.9962475, 0.98542297, 0.0011139159, 0.74826014, 0.4222266]",0.9962475
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.032732837, 0.0059052664, 0.7918287, 0.00026357835, 0.94535375, 0.4236841]",0.94535375
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.42777896, 0.98434573, 0.9907802, 0.00035057875, 0.9961831, 0.13262391]",0.9961831
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.09258283, 0.13217305, 0.98893785, 0.99158, 0.10852719, 0.9272718]",0.99158
fear,Making art and viewing art are different at their core! ,fear,"[0.30732748, 0.078025974, 0.7983148, 0.42397156, 0.33062008, 0.70239013]",0.7983148
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",anger,"[0.97708195, 0.9692709, 0.9089446, 0.0019611544, 0.4132079, 0.17462137]",0.97708195
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",anger,"[0.8823436, 0.6479484, 0.8555806, 0.005108579, 0.17482144, 0.7767704]",0.8823436
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",fear,"[0.9512842, 0.9093339, 0.9895957, 0.895993, 0.9692517, 0.9764183]",0.9895957
surprise,People know they can pull you down and they dont give a care ,fear,"[0.8889718, 0.7259521, 0.94179845, 0.00087151467, 0.8826004, 0.007180641]",0.94179845
