labels,text,expr_s,prob_expr_s,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.020681036170572042, 0.005110300611704588, 0.01259316255648931, 0.18804436083883047, 0.9440316061178843, 0.011314132212040326, 0.05969776647786299]",0.9440316061178843
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.4173698214193185, 0.41976265609264374, 0.9817023475964864, 0.4291766049961249, 0.007860946420502538, 0.9235264162222544, 0.09956705818573634]",0.9817023475964864
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.8395766913890839, 0.59539595246315, 0.5944251517454783, 0.5336537777135769, 0.0034693928222016743, 0.6998116970062256, 0.5244268725315729]",0.8395766913890839
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.3983282459278901, 0.374592296158274, 0.4292748048901558, 0.9178028404712677, 0.02081872053289165, 0.7618848731120428, 0.7346718013286591]",0.9178028404712677
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.7648758540550867, 0.7913783589998881, 0.7686175207297007, 0.6545380204916, 0.01811753388028592, 0.5076750715573629, 0.7819432417551676]",0.7913783589998881
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.5810983578364054, 0.5188295692205429, 0.19030083374430737, 0.692681897431612, 0.06287537468597293, 0.3741603617866834, 0.4974516953031222]",0.692681897431612
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.05175306973978877, 0.25546790721515816, 0.19912022600571314, 0.8358233124017715, 0.008726866430758188, 0.35062022383014363, 0.8122369945049286]",0.8358233124017715
joy,After my girlfriend had taken her exam we went to her parent's place. ,joy,"[0.2676313556730747, 0.13352610496804118, 0.29475147897998494, 0.3443336884180705, 0.44578462342421216, 0.23988894621531168, 0.09538336501767238]",0.44578462342421216
fear,"When, for the first time I realized the meaning of death. ",fear,"[0.12414088596900304, 0.5855202687283357, 0.8727650543053945, 0.33950371978183586, 0.06741327857404637, 0.8307892233133316, 0.0734189519037803]",0.8727650543053945
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7860049406687418, 0.5268596100310484, 0.9101410607496897, 0.7384281307458878, 0.05848181480541825, 0.5782491493349274, 0.33578408882021904]",0.9101410607496897
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.24482527934014797, 0.2027608466645082, 0.11925784405320883, 0.2644415299097697, 0.02133575112869342, 0.289908092468977, 0.07563928173234065]",0.289908092468977
disgust,When I found a bristle in the liver paste tube. ,fear,"[0.814112921555837, 0.7334509566426277, 0.8918436467647552, 0.6720428963502248, 0.14444401611884436, 0.49332375762363273, 0.4484856128692627]",0.8918436467647552
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9545773267745972, 0.8068928867578506, 0.29611226978401345, 0.8970761696497599, 0.002026699366979301, 0.27441497674832743, 0.6835217873255411]",0.9545773267745972
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.39900521747767925, 0.3297041980549693, 0.2679818185667197, 0.8639974345763525, 0.02571122538453589, 0.3671506966153781, 0.49549755702416104]",0.8639974345763525
joy,When I pass an examination which I did not think I did well. ,joy,"[0.3728942188123862, 0.35742311800519627, 0.32811108014235896, 0.5739169145623843, 0.7812262773513794, 0.2750824224203825, 0.47045402973890305]",0.7812262773513794
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.3797292113304138, 0.27416336722671986, 0.8697606474161148, 0.5733805348475774, 0.0025717891985550523, 0.637122631072998, 0.11796162587900956]",0.8697606474161148
