labels,text,emo_name,prob_emo_name,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.011183387, 0.023836048, 0.011876059, 0.10755542, 0.8286339, 0.010385522, 0.027006637]",0.8286339
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.5321802, 0.53824353, 0.9484553, 0.8508011, 0.001540064, 0.8850842, 0.756061]",0.9484553
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,shame,"[0.8491841, 0.8424743, 0.7664565, 0.6707211, 0.00692495, 0.8941081, 0.9396845]",0.9396845
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,shame,"[0.1729829, 0.641142, 0.39783588, 0.811797, 0.18996717, 0.7472141, 0.85020113]",0.85020113
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,"[0.6974387, 0.8079948, 0.6853191, 0.61052644, 0.020594398, 0.68918836, 0.8414425]",0.8414425
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.54304755, 0.79530823, 0.59062016, 0.663745, 0.015799044, 0.8406523, 0.77354825]",0.8406523
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.49664575, 0.7384365, 0.63993335, 0.9885117, 0.0021816387, 0.83009744, 0.93900347]",0.9885117
joy,After my girlfriend had taken her exam we went to her parent's place. ,anger,"[0.5202137, 0.49101096, 0.45244086, 0.41388595, 0.3414469, 0.42356655, 0.2616973]",0.5202137
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.4649835, 0.6852673, 0.5965871, 0.30443752, 0.0013680923, 0.81558216, 0.6686067]",0.81558216
anger,When a car is overtaking another and I am forced to drive off the road. ,shame,"[0.6959674, 0.6264416, 0.7173645, 0.70702326, 0.013700627, 0.7016891, 0.8564146]",0.8564146
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.015370362, 0.07399002, 0.04334889, 0.20157582, 0.0032447942, 0.34832197, 0.2487463]",0.34832197
