labels,text,emo_name,prob_emo_name,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.0070228525, 0.0015942849, 0.029488755, 0.8048942, 0.0014993415, 0.18598409]",0.8048942
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",surprise,"[0.7195472, 0.6107266, 0.60316706, 0.07748894, 0.7286275, 0.7538753]",0.7538753
joy,the moment when you get another follower and you cheer. ,joy,"[0.002044375, 0.0007766312, 0.002972872, 0.9804586, 0.0010378497, 0.56702876]",0.9804586
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.025773115, 0.0066330833, 0.1025762, 0.76688933, 0.011304824, 0.4287889]",0.76688933
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.14143406, 0.96680486, 0.7107349, 0.00045404639, 0.22460103, 0.028539835]",0.96680486
joy,If ur heart hurts all the time for tht person something isn't right where's the ,joy,"[0.05308745, 0.009660052, 0.074222334, 0.44722724, 0.17232522, 0.13022079]",0.44722724
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.4450519, 0.39878187, 0.2749269, 0.0010447317, 0.8208955, 0.046893362]",0.8208955
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,fear,"[0.012850942, 0.0025616284, 0.04411366, 0.016558636, 0.0033498758, 0.012159885]",0.04411366
fear,Making art and viewing art are different at their core! ,surprise,"[0.26827836, 0.1506436, 0.24427453, 0.11010256, 0.20645921, 0.37696007]",0.37696007
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",anger,"[0.15872361, 0.074265786, 0.034274608, 0.0078037474, 0.085388884, 0.021142796]",0.15872361
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",anger,"[0.4276898, 0.3854492, 0.08201854, 0.0042675743, 0.20365481, 0.08173418]",0.4276898
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.4956823, 0.5521568, 0.5563976, 0.5834872, 0.7515363, 0.8709627]",0.8709627
surprise,People know they can pull you down and they dont give a care ,sadness,"[0.4949668, 0.5514229, 0.14753799, 0.04150634, 0.81063527, 0.15024953]",0.81063527
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.097580016, 0.22784668, 0.46817014, 0.0111126555, 0.9159273, 0.08843225]",0.9159273
joy,chips and curry sauce ,joy,"[0.033539943, 0.05148996, 0.031045955, 0.23520298, 0.011496666, 0.20780602]",0.23520298
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.9573537, 0.41153714, 0.4871395, 0.3462813, 0.29730007, 0.47727]",0.9573537
joy,Oh and off to work till midnight -. - ,sadness,"[0.31478268, 0.33113933, 0.28677255, 0.07271854, 0.7528656, 0.27584487]",0.7528656
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,surprise,"[0.10777801, 0.060008105, 0.15205814, 0.022667224, 0.15492024, 0.31602505]",0.31602505
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,surprise,"[0.027969742, 0.2196838, 0.023681456, 0.020970222, 0.001946117, 0.22856686]",0.22856686
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.24866018, 0.43256223, 0.3639153, 0.0006752827, 0.8435134, 0.072733805]",0.8435134
fear,large crowds of manic football fans amp mascots ,anger,"[0.2543208, 0.03233803, 0.035568707, 0.09953414, 0.0017112397, 0.04184983]",0.2543208
