labels,text,expr_emo,prob_expr_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.001784219, 0.00046060173, 0.0014046442, 0.982261, 0.0004414639, 0.3994103]",0.982261
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,"[0.48260525, 0.38091648, 0.24476768, 0.16138598, 0.79434055, 0.7293014]",0.79434055
joy,the moment when you get another follower and you cheer. ,joy,"[0.0005155914, 0.00028449978, 0.00055315386, 0.99676394, 0.00030684835, 0.2579905]",0.99676394
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.00078853, 0.0003958438, 0.0010199267, 0.91399354, 0.00060397154, 0.09083324]",0.91399354
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.74916095, 0.99643195, 0.94419307, 0.00043348185, 0.93687516, 0.49826556]",0.99643195
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.035443343, 0.01680962, 0.26104945, 0.0004712831, 0.9729258, 0.38178784]",0.9729258
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.9548467, 0.9868427, 0.9184219, 0.00068979204, 0.9942899, 0.7265968]",0.9942899
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.3365965, 0.1246106, 0.919481, 0.98933816, 0.35185274, 0.9338902]",0.98933816
fear,Making art and viewing art are different at their core! ,surprise,"[0.12101786, 0.03524714, 0.1264596, 0.09329963, 0.22417842, 0.8567998]",0.8567998
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.94709724, 0.9790532, 0.10175797, 0.0011580213, 0.37908828, 0.104193784]",0.9790532
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",disgust,"[0.7267292, 0.85134274, 0.098439604, 0.0015636933, 0.114062175, 0.7673485]",0.85134274
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.8807017, 0.9301002, 0.91015655, 0.77582425, 0.94984776, 0.9892322]",0.9892322
surprise,People know they can pull you down and they dont give a care ,anger,"[0.9400809, 0.8869783, 0.8545697, 0.0012439165, 0.93984497, 0.0058998126]",0.9400809
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.7713252, 0.67222464, 0.99274534, 0.00054017705, 0.99758184, 0.38668293]",0.99758184
joy,chips and curry sauce ,surprise,"[0.3217933, 0.137914, 0.0807102, 0.25284415, 0.051798865, 0.47107765]",0.47107765
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.99304384, 0.66245216, 0.0204898, 0.015715146, 0.0013963431, 0.3150347]",0.99304384
joy,Oh and off to work till midnight -. - ,sadness,"[0.6594875, 0.68351775, 0.49572018, 0.008130275, 0.945971, 0.9426637]",0.945971
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,surprise,"[0.20796041, 0.18122032, 0.39959544, 0.009184802, 0.27232242, 0.9915609]",0.9915609
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,surprise,"[0.52458256, 0.9809722, 0.77304643, 0.15450837, 0.0022262936, 0.9871695]",0.9871695
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.72280025, 0.97507817, 0.8972, 0.0004777241, 0.9883719, 0.9799867]",0.9883719
fear,large crowds of manic football fans amp mascots ,anger,"[0.6438315, 0.056302853, 0.24565059, 0.13640904, 0.0074523007, 0.43835494]",0.6438315
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,surprise,"[0.017475123, 0.0064108153, 0.027288536, 0.06504242, 0.039465636, 0.81528866]",0.81528866
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.00072811183, 0.00047495344, 0.0004895099, 0.9835185, 0.0009727937, 0.32019863]",0.9835185
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.27094185, 0.0003475911, 0.021230131, 0.97627354, 0.001796681, 0.20048809]",0.97627354
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,disgust,"[0.9706085, 0.97532946, 0.8150004, 0.4966559, 0.57786953, 0.94038683]",0.97532946
joy,Nobody up worth talking too so back to sleep I try to go! ,surprise,"[0.16807505, 0.5087829, 0.19032758, 0.0025207757, 0.5184022, 0.59929794]",0.59929794
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",joy,"[0.50729156, 0.06404285, 0.19248474, 0.74963546, 0.0926041, 0.39676234]",0.74963546
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.28589574, 0.10874574, 0.1506737, 0.056352314, 0.1275798, 0.67106616]",0.67106616
anger,I just absolutely lost my mind. . ( ,surprise,"[0.99094474, 0.9444188, 0.9918216, 0.0015766496, 0.27694345, 0.99595034]",0.99595034
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.014358197, 0.0017897334, 0.0043261503, 0.8941898, 0.0016892578, 0.6440841]",0.8941898
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",surprise,"[0.023906337, 0.0030412308, 0.07133592, 0.9344953, 0.0045928736, 0.98877585]",0.98877585
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,surprise,"[0.10295646, 0.021629583, 0.09488701, 0.12332752, 0.116484806, 0.77920854]",0.77920854
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,anger,"[0.83563244, 0.12476687, 0.625916, 0.005391475, 0.08638438, 0.71113515]",0.83563244
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.5337168, 0.97701764, 0.98303485, 0.000366021, 0.9949826, 0.8745736]",0.9949826
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.0028441118, 0.00079066836, 0.00148887, 0.9915658, 0.0008996886, 0.17240171]",0.9915658
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.9752372, 0.9642491, 0.00859158, 0.43885827, 0.005232472, 0.13615741]",0.9752372
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,surprise,"[0.030144103, 0.03404252, 0.026117193, 0.0012413078, 0.015414129, 0.060010966]",0.060010966
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.09577325, 0.023545537, 0.030903954, 0.0003511869, 0.99095094, 0.11143044]",0.99095094
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,anger,"[0.9924344, 0.9875471, 0.1641272, 0.031796247, 0.02175058, 0.97984034]",0.9924344
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.99716043, 0.9819951, 0.9700032, 0.0005534614, 0.030291893, 0.9604821]",0.99716043
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.07758852, 0.005364848, 0.9940906, 0.27661306, 0.01920618, 0.8411749]",0.9940906
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",anger,"[0.97591496, 0.7719989, 0.12588632, 0.9038887, 0.021482753, 0.9600473]",0.97591496
sadness,I only have two class periods left with my favorite teacher. ,sadness,"[0.018988889, 0.00065167184, 0.18467852, 0.3630151, 0.8088976, 0.6328351]",0.8088976
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,disgust,"[0.9960103, 0.996412, 0.46793795, 0.0029858297, 0.6140958, 0.39265448]",0.996412
sadness,been awake since am. too tired for black friday fun. ,sadness,"[0.1338747, 0.0774867, 0.08738579, 0.0027639791, 0.26626685, 0.103357285]",0.26626685
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,fear,"[0.5860092, 0.36796185, 0.70058626, 0.026957132, 0.46880692, 0.46926978]",0.70058626
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,surprise,"[0.25875723, 0.091154315, 0.49792603, 0.04277174, 0.25463957, 0.94281256]",0.94281256
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.018748723, 0.0030705156, 0.9859905, 0.0014745296, 0.89154315, 0.5461917]",0.9859905
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",fear,"[0.5464387, 0.36070666, 0.9122898, 0.015964814, 0.30978277, 0.8793517]",0.9122898
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,joy,"[0.14020063, 0.010973624, 0.14975972, 0.49636245, 0.024462055, 0.41054502]",0.49636245
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.737233, 0.9779548, 0.1330846, 0.40257993, 0.09552738, 0.9980609]",0.9980609
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.008416172, 0.0013110396, 0.0030044971, 0.9893818, 0.0013875278, 0.7373075]",0.9893818
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.3973478, 0.027269874, 0.043295696, 0.1391805, 0.96495503, 0.8746271]",0.96495503
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,surprise,"[0.17604935, 0.15384455, 0.28877127, 0.49927706, 0.5186062, 0.87630224]",0.87630224
joy,Guess I better start my psychology paper that's due Monday. ,surprise,"[0.35560107, 0.099477895, 0.44387612, 0.012192962, 0.27542412, 0.8312377]",0.8312377
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.115142286, 0.05122592, 0.055164047, 0.9655484, 0.01479599, 0.99487114]",0.99487114
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",fear,"[0.0021037674, 0.0018810136, 0.7570938, 0.3148423, 0.0055752704, 0.32929322]",0.7570938
joy,Now for the painful walk downstairs ,sadness,"[0.8415725, 0.9409161, 0.96621454, 0.00152769, 0.9949661, 0.6816066]",0.9949661
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.0029583217, 0.0004707443, 0.0014813133, 0.995468, 0.00072564266, 0.97071606]",0.995468
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.73625416, 0.940841, 0.38393354, 0.41161516, 0.5482354, 0.98757845]",0.98757845
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.32654136, 0.123610444, 0.9275106, 0.0019763007, 0.8496681, 0.98435336]",0.98435336
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",surprise,"[0.89538884, 0.98099583, 0.7142836, 0.00184831, 0.8977744, 0.9956786]",0.9956786
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,sadness,"[0.9685307, 0.70955867, 0.9585636, 0.23668204, 0.96914846, 0.96874017]",0.96914846
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,surprise,"[0.47380048, 0.37722394, 0.4813377, 0.085123435, 0.18997724, 0.91111505]",0.91111505
