labels,text,emo_s,prob_emo_s,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.6732342143853506, 0.5718188583850861, 0.5086014072100321, 0.7782841920852661, 0.9788889189561208, 0.551791270573934, 0.7999081114927927]",0.9788889189561208
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.5751519774397215, 0.5935062815745672, 0.8686734835306803, 0.5383084863424301, 0.008275248110294342, 0.8104888796806335, 0.29429515451192856]",0.8686734835306803
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.7002972066402435, 0.5283961047728857, 0.4661336789528529, 0.6774152368307114, 0.01958215857545535, 0.5332780331373215, 0.40667978425820667]",0.7002972066402435
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.47469455500443775, 0.5311281383037567, 0.4035925318797429, 0.877345472574234, 0.05758680899937948, 0.6321140776077906, 0.560631607969602]",0.877345472574234
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,guilt,"[0.6066368371248245, 0.5795959283908209, 0.5977793534596761, 0.648160974184672, 0.022650409839116037, 0.5459985136985779, 0.54167740046978]",0.648160974184672
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.570133663713932, 0.5383754918972651, 0.34236033136645955, 0.6465278913577398, 0.15799251664429903, 0.585056389371554, 0.48229241371154785]",0.6465278913577398
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.13809936307370663, 0.27907708535591763, 0.251802163819472, 0.8074491024017334, 0.04858475182360659, 0.3562714618941148, 0.5827190081278483]",0.8074491024017334
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.2537260229388873, 0.2715524521966775, 0.27063474121193093, 0.44258496661980945, 0.3127622952063878, 0.2014323870340983, 0.3306321216126283]",0.44258496661980945
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.10933444183319807, 0.45844195783138275, 0.5225695967674255, 0.2656133944789569, 0.08899050756978492, 0.5707380995154381, 0.139931820333004]",0.5707380995154381
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.6426294123133024, 0.3835931320985158, 0.6264719863732656, 0.5438182254632314, 0.04351504845544696, 0.3786435841272275, 0.24900884677966437]",0.6426294123133024
