labels,text,emotion,prob_emotion,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.021853318787179887, 0.006024345677966873, 0.00743034763339286, 0.34078338649123907, 0.9006313582261404, 0.01632982740799586, 0.24022294487804174]",0.9006313582261404
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.33921601871649426, 0.4847324291865031, 0.8997511665026346, 0.7065573483705521, 0.05559269047807902, 0.8717050155003866, 0.25931475528826314]",0.8997511665026346
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.8011795481046041, 0.6543373465538025, 0.7041132152080536, 0.7091403752565384, 0.0938108186237514, 0.7536019484202067, 0.7309673726558685]",0.8011795481046041
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.6463541636864344, 0.6482453346252441, 0.656959335009257, 0.9174802501996359, 0.02369596343487501, 0.7664793531099955, 0.8360783259073893]",0.9174802501996359
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,"[0.7665620744228363, 0.7804713944594065, 0.7259122828642527, 0.7418578763802847, 0.12214493673915665, 0.5837447345256805, 0.8415935834248861]",0.8415935834248861
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.5015928248564402, 0.41913139447569847, 0.0764841732258598, 0.5756706198056539, 0.021607683622278273, 0.215316042304039, 0.3481104448437691]",0.5756706198056539
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.0177370665090469, 0.2604602938517928, 0.03575864352751523, 0.8402685125668844, 0.005251017370028421, 0.16943624522536993, 0.6790309796730677]",0.8402685125668844
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.3548349142074585, 0.16044699276487032, 0.44078464309374493, 0.669542541106542, 0.6412477294603983, 0.45541319251060486, 0.3334815005461375]",0.669542541106542
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.19025614888717732, 0.5060858080784479, 0.7959707776705424, 0.4847850948572159, 0.0804951973259449, 0.8251811762650808, 0.2633047665779789]",0.8251811762650808
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7352589468161265, 0.5694883664449056, 0.7987902065118154, 0.7962297797203064, 0.08926577245195706, 0.5583774643018842, 0.6047458748022715]",0.7987902065118154
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.16417934636895856, 0.12752554255227247, 0.06554690127571423, 0.4279258574048678, 0.028658204867194097, 0.2021432506541411, 0.24209886292616525]",0.4279258574048678
disgust,When I found a bristle in the liver paste tube. ,fear,"[0.8196117182572683, 0.8065842886765798, 0.8375410437583923, 0.77987569073836, 0.23197874737282595, 0.6153927420576414, 0.7966319819291433]",0.8375410437583923
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.928684244553248, 0.7218035260836283, 0.23780079185962677, 0.7085124254226685, 0.04686417871077234, 0.30265697355692583, 0.5458688388268153]",0.928684244553248
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.4155645730594794, 0.36498673011859256, 0.23228343452016512, 0.8208956023057302, 0.024519096904744703, 0.3719743024557829, 0.5525362938642502]",0.8208956023057302
joy,When I pass an examination which I did not think I did well. ,joy,"[0.3028970944384734, 0.221372801810503, 0.25734548767407733, 0.5408808390299479, 0.8000144958496094, 0.24319351961215338, 0.3408083866039912]",0.8000144958496094
