labels,text,emo_name,prob_emo_name,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.01712773, 0.008050236, 0.075442255, 0.9213436, 0.0013131665, 0.37047553]",0.9213436
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,"[0.88869506, 0.7978644, 0.49178213, 0.5478924, 0.9296805, 0.32386464]",0.9296805
joy,the moment when you get another follower and you cheer. ,joy,"[0.00132829, 0.0017457837, 0.0025622046, 0.9575117, 0.000410679, 0.6372976]",0.9575117
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.011243193, 0.012809257, 0.022293504, 0.9750445, 0.0052177017, 0.32943127]",0.9750445
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,joy,"[0.022545034, 0.07781366, 0.07877318, 0.84689915, 0.02588298, 0.66327995]",0.84689915
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.21164009, 0.7091937, 0.92005897, 0.025707383, 0.991863, 0.21351177]",0.991863
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.95102465, 0.9916276, 0.9569813, 0.02598922, 0.99536395, 0.5049759]",0.99536395
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.06173068, 0.027480325, 0.13809137, 0.92699116, 0.00372396, 0.7963425]",0.92699116
fear,Making art and viewing art are different at their core! ,surprise,"[0.1368141, 0.224295, 0.116329364, 0.49039516, 0.13179839, 0.9079033]",0.9079033
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.8048341, 0.96165156, 0.8626909, 0.08643155, 0.9594721, 0.8788982]",0.96165156
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",sadness,"[0.096192405, 0.35487938, 0.35601607, 0.072651386, 0.7437507, 0.39678743]",0.7437507
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.25542548, 0.6924101, 0.68590325, 0.60388374, 0.14445695, 0.7874535]",0.7874535
surprise,People know they can pull you down and they dont give a care ,disgust,"[0.49648112, 0.9136063, 0.14737396, 0.17819835, 0.7617005, 0.1584931]",0.9136063
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.9461431, 0.9850454, 0.9912833, 0.0145998, 0.9960294, 0.40990287]",0.9960294
joy,chips and curry sauce ,joy,"[0.01141384, 0.010055967, 0.013607605, 0.63600636, 0.012816134, 0.25850534]",0.63600636
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.9890565, 0.92861485, 0.65621924, 0.10083087, 0.6460737, 0.53774875]",0.9890565
joy,Oh and off to work till midnight -. - ,disgust,"[0.19903997, 0.43420336, 0.1001301, 0.07979739, 0.30699077, 0.161026]",0.43420336
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,sadness,"[0.4769341, 0.5351924, 0.57154477, 0.20519246, 0.80470705, 0.7506921]",0.80470705
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,disgust,"[0.92885834, 0.96137714, 0.5292979, 0.6423742, 0.27455643, 0.80279225]",0.96137714
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.8942074, 0.9842271, 0.58190733, 0.020260148, 0.9963744, 0.37266207]",0.9963744
fear,large crowds of manic football fans amp mascots ,anger,"[0.9739013, 0.12603787, 0.21010141, 0.7050035, 0.009788376, 0.3769818]",0.9739013
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,joy,"[0.014137631, 0.017798487, 0.008634605, 0.8787871, 0.01771479, 0.38762003]",0.8787871
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.010987015, 0.029316, 0.029905925, 0.8912319, 0.006100048, 0.28307965]",0.8912319
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.12978941, 0.014930652, 0.09112903, 0.9721382, 0.004066921, 0.76979417]",0.9721382
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,surprise,"[0.10495337, 0.2588085, 0.25968447, 0.48952752, 0.10123243, 0.6025885]",0.6025885
joy,Nobody up worth talking too so back to sleep I try to go! ,sadness,"[0.046164036, 0.6687821, 0.70360607, 0.27789292, 0.8746273, 0.32346165]",0.8746273
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",anger,"[0.47085035, 0.31385523, 0.33147845, 0.28312612, 0.29373065, 0.38612288]",0.47085035
fear,Someone on my high school football team is also called Moriarty. ,disgust,"[0.4694958, 0.48152626, 0.41737208, 0.18534762, 0.38307428, 0.28158545]",0.48152626
anger,I just absolutely lost my mind. . ( ,anger,"[0.99583095, 0.8412103, 0.9697833, 0.03725162, 0.86837316, 0.61857295]",0.99583095
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.015162524, 0.019886881, 0.021269508, 0.81965506, 0.0075188107, 0.23042603]",0.81965506
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",joy,"[0.0842326, 0.005872263, 0.06053603, 0.50498754, 0.0035463432, 0.29145783]",0.50498754
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,anger,"[0.3876524, 0.27079397, 0.27564174, 0.12190363, 0.37401798, 0.2884247]",0.3876524
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,anger,"[0.5539265, 0.41163826, 0.49824646, 0.21118474, 0.37670276, 0.30296534]",0.5539265
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.8519038, 0.97237736, 0.94258934, 0.009500993, 0.99632865, 0.3250838]",0.99632865
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.02029834, 0.027054876, 0.053068593, 0.91742235, 0.0032864704, 0.2592489]",0.91742235
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,disgust,"[0.18519011, 0.6017339, 0.07335679, 0.32017165, 0.04115508, 0.28380817]",0.6017339
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,sadness,"[0.93600273, 0.87402946, 0.7719426, 0.038071454, 0.9886425, 0.44572434]",0.9886425
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.7968863, 0.6769255, 0.7981773, 0.02696719, 0.95824784, 0.33039814]",0.95824784
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,anger,"[0.9091951, 0.52357167, 0.319195, 0.57089096, 0.07171704, 0.57967263]",0.9091951
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.9954987, 0.9134147, 0.7338218, 0.0012652285, 0.13901792, 0.34724662]",0.9954987
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.055246007, 0.06978162, 0.9531846, 0.71232516, 0.031087032, 0.35883093]",0.9531846
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",joy,"[0.79554933, 0.5523763, 0.6573469, 0.9157326, 0.7643763, 0.63103485]",0.9157326
sadness,I only have two class periods left with my favorite teacher. ,joy,"[0.035856135, 0.03691346, 0.39038536, 0.74646366, 0.7241457, 0.22809957]",0.74646366
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,disgust,"[0.969521, 0.98644143, 0.50780123, 0.079227604, 0.9226392, 0.24977526]",0.98644143
sadness,been awake since am. too tired for black friday fun. ,sadness,"[0.19679487, 0.52183086, 0.36371055, 0.19110739, 0.55362517, 0.14693296]",0.55362517
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,disgust,"[0.2822014, 0.6053284, 0.516486, 0.53577787, 0.5706966, 0.45004043]",0.6053284
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,sadness,"[0.46597084, 0.5713268, 0.60013103, 0.26927218, 0.77282244, 0.58469176]",0.77282244
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.74941295, 0.48204723, 0.9848162, 0.22877496, 0.9171665, 0.37810603]",0.9848162
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",fear,"[0.75340253, 0.67629033, 0.84070975, 0.44246206, 0.75906956, 0.4447457]",0.84070975
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,joy,"[0.2773313, 0.5131711, 0.41101903, 0.71994555, 0.47816628, 0.4539275]",0.71994555
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.24712878, 0.5740117, 0.19159368, 0.27660817, 0.30090755, 0.94047475]",0.94047475
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.02666592, 0.036678296, 0.030490477, 0.9531084, 0.0042393943, 0.47374263]",0.9531084
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.42283002, 0.13228884, 0.22338024, 0.6874828, 0.9445757, 0.48421624]",0.9445757
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,joy,"[0.08563617, 0.02429299, 0.19827518, 0.5421342, 0.44972163, 0.44897887]",0.5421342
joy,Guess I better start my psychology paper that's due Monday. ,disgust,"[0.124431156, 0.3234459, 0.24121569, 0.30475968, 0.22022751, 0.14085035]",0.3234459
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.30060673, 0.087099545, 0.059501827, 0.88009834, 0.012797337, 0.9126892]",0.9126892
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",surprise,"[0.03328422, 0.20611423, 0.44982716, 0.32118434, 0.078761764, 0.5522788]",0.5522788
joy,Now for the painful walk downstairs ,disgust,"[0.93663085, 0.99477273, 0.9708854, 0.0033399658, 0.9944623, 0.19746219]",0.99477273
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.016890747, 0.001649004, 0.0038213695, 0.97677815, 0.00044318277, 0.9556773]",0.97677815
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,disgust,"[0.50326514, 0.87342066, 0.45341843, 0.40745592, 0.7937629, 0.6461288]",0.87342066
fear,People are more likely to die in hospital at the weekend? ,fear,"[0.51835656, 0.5054701, 0.89257574, 0.09175036, 0.82907015, 0.48368907]",0.89257574
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",sadness,"[0.8704284, 0.9875985, 0.80688614, 0.022601996, 0.9883894, 0.7946401]",0.9883894
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,sadness,"[0.13126235, 0.362707, 0.4128158, 0.65000445, 0.8334187, 0.7595515]",0.8334187
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,sadness,"[0.48045108, 0.46469003, 0.3552438, 0.3198618, 0.8022724, 0.39492267]",0.8022724
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",anger,"[0.57275677, 0.2613272, 0.5125964, 0.48031968, 0.31766543, 0.3309143]",0.57275677
