labels,text,emotion,prob_emotion,emotion_word,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.07197072356939316, 0.014669752679765224, 0.0166031327098608, 0.017198456451296806, 0.9683817625045776, 0.03901305049657822, 0.03875819966197014]",pleasure,0.9683817625045776
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.46147361397743225, 0.5907268524169922, 0.9588308930397034, 0.6606388688087463, 0.21048825979232788, 0.9138352274894714, 0.21633026003837585]",scare,0.9588308930397034
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,guilt,"[0.8879522085189819, 0.7791223526000977, 0.7996926307678223, 0.906260073184967, 0.35274019837379456, 0.8405951261520386, 0.795664370059967]",guilt,0.906260073184967
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.6626155972480774, 0.7061501741409302, 0.7720120549201965, 0.8734042644500732, 0.08194844424724579, 0.8988320231437683, 0.8220637440681458]",sadness,0.8988320231437683
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,fear,"[0.8185712695121765, 0.8423342704772949, 0.8820695281028748, 0.7115603685379028, 0.31239718198776245, 0.7283560037612915, 0.8576170802116394]",anxiety,0.8820695281028748
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,"[0.6373474597930908, 0.5822094082832336, 0.1059495136141777, 0.637218177318573, 0.07700075954198837, 0.06767021119594574, 0.26366686820983887]",anger,0.6373474597930908
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.08046074211597443, 0.21707521378993988, 0.04233735427260399, 0.9980798959732056, 0.011324773542582989, 0.4279034435749054, 0.9213036298751831]",guilt,0.9980798959732056
joy,After my girlfriend had taken her exam we went to her parent's place. ,joy,"[0.33321672677993774, 0.3067135214805603, 0.7751239538192749, 0.4907987117767334, 0.850296676158905, 0.5875070095062256, 0.39280402660369873]",an achievement,0.850296676158905
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.47200578451156616, 0.6045222282409668, 0.900796115398407, 0.4009511172771454, 0.33256760239601135, 0.9367147088050842, 0.18439678847789764]",sadness,0.9367147088050842
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7610392570495605, 0.6033790111541748, 0.9302717447280884, 0.6794750690460205, 0.2504895329475403, 0.6917200684547424, 0.6848677396774292]",fear,0.9302717447280884
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",shame,"[0.037084098905324936, 0.26079294085502625, 0.16609090566635132, 0.20335298776626587, 0.06506400555372238, 0.28408974409103394, 0.3339800536632538]",humiliation,0.3339800536632538
disgust,When I found a bristle in the liver paste tube. ,fear,"[0.8232767581939697, 0.9033740162849426, 0.937282383441925, 0.8846139311790466, 0.5546638369560242, 0.810251772403717, 0.9151363372802734]",scare,0.937282383441925
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9592891931533813, 0.8439181447029114, 0.39999449253082275, 0.5006633400917053, 0.19068603217601776, 0.03175785392522812, 0.5509918928146362]",anger,0.9592891931533813
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.4002634286880493, 0.5352042317390442, 0.6500131487846375, 0.8188247084617615, 0.08847512304782867, 0.5163501501083374, 0.5321038365364075]",guilt,0.8188247084617615
joy,When I pass an examination which I did not think I did well. ,joy,"[0.21067626774311066, 0.22952473163604736, 0.5276203155517578, 0.3784674406051636, 0.9568061232566833, 0.30558642745018005, 0.44682279229164124]",an achievement,0.9568061232566833
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.14626963436603546, 0.3826315701007843, 0.9795235991477966, 0.7765207886695862, 0.04468425363302231, 0.6719846129417419, 0.08747467398643494]",scare,0.9795235991477966
anger,When one is unjustly accused of something one has not done. ,guilt,"[0.8505102396011353, 0.8114514350891113, 0.8644003868103027, 0.9006760120391846, 0.4839015007019043, 0.8177580833435059, 0.8437061905860901]",guilt,0.9006760120391846
