labels,text,emotion,probs_synonyms
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.8820483684539795, 0.824360191822052, 0.9683817625045776, 0.8207455277442932, 0.968186616897583, 0.9400666952133179]"
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.9347234964370728, 0.8456000685691833, 0.9355937838554382, 0.8256430625915527, 0.8981147408485413, 0.9588308930397034]"
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.8299282193183899, 0.8222625851631165, 0.6657966375350952, 0.8879522085189819, 0.7130891680717468, 0.8880462050437927]"
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.8988320231437683, 0.8681306838989258, 0.772983968257904, 0.8805543184280396, 0.4806821346282959, 0.6976908445358276]"
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,"[0.8060926795005798, 0.6337110996246338, 0.83826744556427, 0.5914980173110962, 0.970920979976654, 0.8423342704772949]"
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.26366686820983887, 0.24461351335048676, 0.1867300122976303, 0.15702509880065918, 0.4759956896305084, 0.7606321573257446]"
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,disgust,"[0.9980798959732056, 0.9711829423904419, 0.7155782580375671, 0.7410626411437988, 0.644569993019104, 0.9711309671401978]"
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.5005899667739868, 0.850296676158905, 0.5796321630477905, 0.7058405876159668, 0.6621667146682739, 0.5489481091499329]"
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.8388245701789856, 0.8522478342056274, 0.6508923172950745, 0.7691640257835388, 0.7639014720916748, 0.900796115398407]"
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7610392570495605, 0.8937520384788513, 0.560246467590332, 0.6326032876968384, 0.6306695342063904, 0.9332395195960999]"
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.28408974409103394, 0.4196088910102844, 0.03409624099731445, 0.15653637051582336, 0.12704291939735413, 0.19147789478302002]"
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.9033740162849426, 0.7402849197387695, 0.7488768696784973, 0.595086395740509, 0.97060227394104, 0.8812733292579651]"
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.2632851004600525, 0.42116981744766235, 0.5056915283203125, 0.5509918928146362, 0.7049151659011841, 0.8291512727737427]"
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,anger,"[0.8188247084617615, 0.9462388753890991, 0.956684947013855, 0.8001000285148621, 0.5995392203330994, 0.8039848208427429]"
joy,When I pass an examination which I did not think I did well. ,joy,"[0.7803617715835571, 0.9568061232566833, 0.7810076475143433, 0.7047094702720642, 0.8196311593055725, 0.7575731873512268]"
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.9594118595123291, 0.7085328698158264, 0.9635218381881714, 0.7755447030067444, 0.9487861394882202, 0.9795235991477966]"
anger,When one is unjustly accused of something one has not done. ,shame,"[0.8432316184043884, 0.877429723739624, 0.6256197094917297, 0.8505102396011353, 0.6963569521903992, 0.9221518635749817]"
sadness,When one's studies seem hopelessly difficult and uninteresting. ,anger,"[0.8994473218917847, 0.9625968337059021, 0.3370058238506317, 0.7887329459190369, 0.3184082508087158, 0.7652195692062378]"
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",shame,"[0.8119614124298096, 0.5792852640151978, 0.635614812374115, 0.6825070381164551, 0.9727506041526794, 0.8106725811958313]"
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7537086606025696, 0.794322669506073, 0.766948401927948, 0.8431195616722107, 0.9439511895179749, 0.9543951153755188]"
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.9343852400779724, 0.9641008973121643, 0.8958300352096558, 0.8849892616271973, 0.8828859925270081, 0.8904764652252197]"
joy,Passing an exam I did not expect to pass. ,joy,"[0.894279956817627, 0.9820396304130554, 0.9269914627075195, 0.8661146759986877, 0.93120276927948, 0.7306517958641052]"
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.8441064357757568, 0.46843549609184265, 0.8277930617332458, 0.5157212615013123, 0.6539798378944397, 0.8829149007797241]"
guilt,When excuses are necessary and I get out of doing it myself. ,anger,"[0.5532177090644836, 0.3141953647136688, 0.4675525426864624, 0.7951244115829468, 0.6899222135543823, 0.30865195393562317]"
joy,When I had my children. ,joy,"[0.9221226572990417, 0.5613914132118225, 0.9016704559326172, 0.8207664489746094, 0.9363303780555725, 0.7159718871116638]"
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7200577259063721, 0.6401929259300232, 0.7606176137924194, 0.6362470388412476, 0.6463184356689453, 0.8548305034637451]"
anger,When my partner was attacked and lost three teeth. ,fear,"[0.9146873950958252, 0.7987940311431885, 0.800346851348877, 0.8535866141319275, 0.8243062496185303, 0.8894873261451721]"
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.9552188515663147, 0.9440932273864746, 0.9137262105941772, 0.9367226362228394, 0.5996938943862915, 0.8218817710876465]"
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.8844525814056396, 0.6999831795692444, 0.8292410969734192, 0.7244811058044434, 0.9599166512489319, 0.8920342326164246]"
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.8312969207763672, 0.47241073846817017, 0.5547578930854797, 0.526725709438324, 0.7068523168563843, 0.6123422980308533]"
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.998759388923645, 0.9907529354095459, 0.9877393841743469, 0.9184948801994324, 0.76104736328125, 0.9354958534240723]"
joy,When my child was born. ,sadness,"[0.9471890926361084, 0.5942947268486023, 0.927850604057312, 0.8542189002037048, 0.9552441239356995, 0.8123144507408142]"
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.9762613773345947, 0.952545166015625, 0.9413183331489563, 0.9547412991523743, 0.9397498965263367, 0.9845858216285706]"
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.9282755255699158, 0.9456485509872437, 0.7182325124740601, 0.9397068619728088, 0.8335219025611877, 0.9614195823669434]"
sadness,Failing an examination. ,shame,"[0.9574437737464905, 0.9660266041755676, 0.843157172203064, 0.934628963470459, 0.34711071848869324, 0.9089211821556091]"
