labels,text,emotion,prob_emotion,emotion_word,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.07196860760450363, 0.0146696912124753, 0.016602860763669014, 0.8391808867454529, 0.9683817625045776, 0.039013151079416275, 0.7194604873657227]",pleasure,0.9683817625045776
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.569461464881897, 0.8673308491706848, 0.9588307738304138, 0.8996443748474121, 0.21048571169376373, 0.9138349294662476, 0.680722713470459]",scare,0.9588307738304138
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,disgust,"[0.8880465030670166, 0.9493451118469238, 0.7996931076049805, 0.9062603712081909, 0.3527389466762543, 0.924972414970398, 0.8850176334381104]",repugnance,0.9493451118469238
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.801012396812439, 0.8743622899055481, 0.7720115184783936, 0.9672407507896423, 0.08194737881422043, 0.898831844329834, 0.8966412544250488]",responsibility,0.9672407507896423
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.9517710208892822, 0.9709210991859436, 0.8820697069168091, 0.820197343826294, 0.31239748001098633, 0.9524243474006653, 0.9243225455284119]",repugnance,0.9709210991859436
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.9197820425033569, 0.95367431640625, 0.1410997360944748, 0.8670831322669983, 0.07700083404779434, 0.988021194934845, 0.7606330513954163]",unhappiness,0.988021194934845
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.08046142756938934, 0.9469159245491028, 0.10861721634864807, 0.9980798959732056, 0.01132484246045351, 0.42791011929512024, 0.9213036298751831]",guilt,0.9980798959732056
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.6632918119430542, 0.34601595997810364, 0.7751237750053406, 0.9295834898948669, 0.8502967953681946, 0.5875082015991211, 0.5771685838699341]",responsibility,0.9295834898948669
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.47200676798820496, 0.777565062046051, 0.9007958173751831, 0.7886409163475037, 0.3325696587562561, 0.9367145895957947, 0.578559935092926]",sadness,0.9367145895957947
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.9332391619682312, 0.9141326546669006, 0.9302717447280884, 0.9150088429450989, 0.2504887878894806, 0.9070478677749634, 0.6848686933517456]",irritation,0.9332391619682312
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.45291438698768616, 0.30391252040863037, 0.1660914570093155, 0.6810286045074463, 0.06506409496068954, 0.41961124539375305, 0.41020894050598145]",responsibility,0.6810286045074463
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.9795127511024475, 0.97060227394104, 0.937282383441925, 0.921042799949646, 0.5546709299087524, 0.8602610230445862, 0.9151360392570496]",irritation,0.9795127511024475
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9751027226448059, 0.9182472229003906, 0.3999955654144287, 0.9320579171180725, 0.19068652391433716, 0.8847152590751648, 0.8291526436805725]",irritation,0.9751027226448059
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.8327586650848389, 0.8259382247924805, 0.6500137448310852, 0.9566850662231445, 0.08847476541996002, 0.8315446376800537, 0.8117898106575012]",responsibility,0.9566850662231445
joy,When I pass an examination which I did not think I did well. ,joy,"[0.6562705636024475, 0.6808539628982544, 0.5276222229003906, 0.8379976749420166, 0.9568060040473938, 0.4916457533836365, 0.48485711216926575]",an achievement,0.9568060040473938
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.8453631401062012, 0.7517341375350952, 0.9795235395431519, 0.9458956122398376, 0.044684115797281265, 0.9530044198036194, 0.24624375998973846]",scare,0.9795235395431519
anger,When one is unjustly accused of something one has not done. ,sadness,"[0.922152042388916, 0.9550428986549377, 0.8644012808799744, 0.9006764888763428, 0.48389968276023865, 0.9560016989707947, 0.9289014339447021]",unhappiness,0.9560016989707947
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.9246718287467957, 0.891067624092102, 0.6659757494926453, 0.720758318901062, 0.019610289484262466, 0.9625967144966125, 0.5611979365348816]",unhappiness,0.9625967144966125
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.8669201731681824, 0.9727503657341003, 0.7799447178840637, 0.8951815962791443, 0.04137122631072998, 0.9280979633331299, 0.9053360819816589]",repugnance,0.9727503657341003
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.8951088786125183, 0.9550560712814331, 0.6230221390724182, 0.9829422235488892, 0.027707606554031372, 0.9238399267196655, 0.9543952941894531]",culpability,0.9829422235488892
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.9032747745513916, 0.9569950699806213, 0.7816937565803528, 0.9641010165214539, 0.3146894574165344, 0.9637975692749023, 0.961922287940979]",culpability,0.9641010165214539
joy,Passing an exam I did not expect to pass. ,joy,"[0.773278534412384, 0.5225642919540405, 0.7642585635185242, 0.8675280809402466, 0.9820396304130554, 0.2722780108451843, 0.3513856530189514]",an achievement,0.9820396304130554
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.8819606304168701, 0.8339312076568604, 0.8829152584075928, 0.9002272486686707, 0.287570983171463, 0.8508816361427307, 0.815442681312561]",culpability,0.9002272486686707
guilt,When excuses are necessary and I get out of doing it myself. ,guilt,"[0.709453284740448, 0.5203956961631775, 0.5318989753723145, 0.7951249480247498, 0.20931631326675415, 0.5045591592788696, 0.6262156367301941]",blameworthy,0.7951249480247498
joy,When I had my children. ,guilt,"[0.6051002144813538, 0.17960867285728455, 0.4366023540496826, 0.9680561423301697, 0.9363305568695068, 0.6222074031829834, 0.30722275376319885]",responsibility,0.9680561423301697
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.8058710694313049, 0.8344290852546692, 0.8548307418823242, 0.8958054780960083, 0.8128957152366638, 0.5074827075004578, 0.7562814950942993]",culpability,0.8958054780960083
anger,When my partner was attacked and lost three teeth. ,fear,"[0.9146873950958252, 0.9359179139137268, 0.9611026644706726, 0.9295660853385925, 0.20475657284259796, 0.954883337020874, 0.8587576746940613]",scare,0.9611026644706726
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.8352426290512085, 0.8220511674880981, 0.869839608669281, 0.8885024189949036, 0.09693392366170883, 0.9552187919616699, 0.8025133609771729]",sadness,0.9552187919616699
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.9469138979911804, 0.9599166512489319, 0.9677562713623047, 0.9626906514167786, 0.5102900862693787, 0.9168712496757507, 0.9046099185943604]",scare,0.9677562713623047
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.046681735664606094, 0.918150007724762, 0.6928879618644714, 0.9951452612876892, 0.020237989723682404, 0.8945549130439758, 0.8312958478927612]",guilt,0.9951452612876892
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.01974448747932911, 0.8917739391326904, 0.05180077999830246, 0.998759388923645, 0.01232890971004963, 0.37018996477127075, 0.5768275260925293]",guilt,0.998759388923645
joy,When my child was born. ,guilt,"[0.382887065410614, 0.07282357662916183, 0.6378836035728455, 0.9760295748710632, 0.9552443027496338, 0.8746713399887085, 0.3713255226612091]",responsibility,0.9760295748710632
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.9105373024940491, 0.960350513458252, 0.9845858216285706, 0.9531123638153076, 0.05957571417093277, 0.9665579795837402, 0.8984573483467102]",scare,0.9845858216285706
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",shame,"[0.9614194631576538, 0.9701387286186218, 0.7569448351860046, 0.9471518993377686, 0.2618914842605591, 0.9610491394996643, 0.970452070236206]",discredit,0.970452070236206
sadness,Failing an examination. ,shame,"[0.9488222002983093, 0.9739805459976196, 0.9497508406639099, 0.9739124774932861, 0.05117890611290932, 0.9660266041755676, 0.9863665699958801]",discredit,0.9863665699958801
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.8630466461181641, 0.9856840372085571, 0.7686349153518677, 0.846904456615448, 0.018962569534778595, 0.9927132725715637, 0.979484498500824]",unhappiness,0.9927132725715637
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.8005027770996094, 0.9232213497161865, 0.8095981478691101, 0.9763137698173523, 0.1640779972076416, 0.8971953392028809, 0.9325804710388184]",culpability,0.9763137698173523
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.3558659851551056, 0.4841211438179016, 0.3649929165840149, 0.7851376533508301, 0.4292876422405243, 0.7694836258888245, 0.5372908711433411]",responsibility,0.7851376533508301
