labels,text,feels_emo,prob_feels_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.001230561, 0.0006954932, 0.023873331, 0.9823967, 0.007938347, 0.012886195]",0.9823967
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",surprise,"[0.42249718, 0.5186167, 0.7666529, 0.0004507803, 0.36802837, 0.869345]",0.869345
joy,the moment when you get another follower and you cheer. ,joy,"[0.00020049082, 4.5408564e-05, 0.006806339, 0.9958698, 0.0001944659, 0.5344738]",0.9958698
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.03479909, 0.02181475, 0.55768186, 0.76799524, 0.054504853, 0.6416581]",0.76799524
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.8842733, 0.99360526, 0.90753084, 0.022033796, 0.929671, 0.9701189]",0.99360526
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.05850204, 0.42963657, 0.88312536, 0.0001173497, 0.9625858, 0.529041]",0.9625858
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",disgust,"[0.97545266, 0.99052584, 0.9543638, 0.00017968433, 0.987743, 0.8016183]",0.99052584
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.00052211987, 0.00016557603, 0.14159574, 0.99205947, 0.00069840334, 0.732677]",0.99205947
fear,Making art and viewing art are different at their core! ,surprise,"[0.07403541, 0.058033638, 0.21110563, 0.035188988, 0.050438195, 0.9501463]",0.9501463
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.9687373, 0.98499286, 0.9452873, 0.0050503504, 0.94848937, 0.9777461]",0.98499286
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",anger,"[0.96427965, 0.84479505, 0.9016186, 0.0040438077, 0.66752696, 0.93986034]",0.96427965
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.95640486, 0.56059974, 0.8771902, 0.9646234, 0.61173666, 0.9880393]",0.9880393
surprise,People know they can pull you down and they dont give a care ,disgust,"[0.40101913, 0.50400937, 0.32699662, 0.00026357433, 0.27119744, 0.00785467]",0.50400937
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.94138473, 0.97716004, 0.9790148, 0.00030913044, 0.994749, 0.8457958]",0.994749
joy,chips and curry sauce ,surprise,"[0.24965669, 0.110136196, 0.5849126, 0.39082482, 0.18530607, 0.80738854]",0.80738854
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.9919518, 0.4453437, 0.94644725, 0.10607356, 0.28014708, 0.9035822]",0.9919518
joy,Oh and off to work till midnight -. - ,surprise,"[0.35873476, 0.29544443, 0.8133809, 0.0029393628, 0.29695085, 0.9081794]",0.9081794
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,surprise,"[0.55706817, 0.5622633, 0.6550841, 0.066333696, 0.5112606, 0.9902867]",0.9902867
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,surprise,"[0.9763481, 0.9380452, 0.79132926, 0.8099319, 0.45130083, 0.988922]",0.988922
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,sadness,"[0.89319974, 0.95213073, 0.91107565, 0.00021570186, 0.97352445, 0.95520455]",0.97352445
fear,large crowds of manic football fans amp mascots ,surprise,"[0.37550214, 0.50773144, 0.28184325, 0.13538042, 0.010896344, 0.8776294]",0.8776294
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,surprise,"[0.008501915, 0.013047155, 0.19144414, 0.7869674, 0.017282302, 0.9106765]",0.9106765
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.0034842186, 0.0019512065, 0.69086426, 0.8644262, 0.064572275, 0.43993947]",0.8644262
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.0030976052, 0.00039204312, 0.7867, 0.9972361, 0.0012959254, 0.21663405]",0.9972361
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,surprise,"[0.9546613, 0.3588767, 0.92546725, 0.7548305, 0.6745144, 0.97516453]",0.97516453
joy,Nobody up worth talking too so back to sleep I try to go! ,fear,"[0.7236921, 0.67584664, 0.97735685, 0.000680329, 0.8236406, 0.75617296]",0.97735685
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",fear,"[0.49550927, 0.112190954, 0.65617776, 0.26969332, 0.38642538, 0.61898315]",0.65617776
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.100145765, 0.07596405, 0.40242574, 0.03329137, 0.09290788, 0.59983474]",0.59983474
anger,I just absolutely lost my mind. . ( ,anger,"[0.97988415, 0.80616885, 0.8673555, 0.00056759774, 0.46148866, 0.9652443]",0.97988415
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.03214264, 0.0015553819, 0.05160903, 0.94782954, 0.0071707657, 0.702094]",0.94782954
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",surprise,"[0.0900763, 0.002534142, 0.24491929, 0.4033345, 0.085737355, 0.90190274]",0.90190274
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,surprise,"[0.13279855, 0.07814179, 0.5467122, 0.027365064, 0.12673745, 0.6812273]",0.6812273
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,fear,"[0.6073096, 0.082713544, 0.7627531, 0.008723721, 0.10687129, 0.5121226]",0.7627531
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.63648045, 0.79186404, 0.84198844, 0.00026239987, 0.8755862, 0.546936]",0.8755862
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.00080392044, 0.00019285243, 0.027245352, 0.64511675, 0.0022784197, 0.055111807]",0.64511675
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.98582965, 0.94680434, 0.9040138, 0.8083577, 0.6014276, 0.9788303]",0.98582965
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,surprise,"[0.65318906, 0.41396227, 0.66175634, 0.0011581073, 0.6197304, 0.71789557]",0.71789557
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.9443218, 0.31129378, 0.85376495, 0.0009066953, 0.9932615, 0.9472101]",0.9932615
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,surprise,"[0.99271387, 0.9886395, 0.9518942, 0.43962786, 0.94130635, 0.99413776]",0.99413776
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.9965379, 0.975601, 0.9868485, 0.00026918692, 0.014032916, 0.9381289]",0.9965379
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.06374971, 0.016004175, 0.98158056, 0.39470065, 0.13486171, 0.6296908]",0.98158056
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",anger,"[0.98155034, 0.73086053, 0.97523755, 0.9403671, 0.51338863, 0.98000723]",0.98155034
sadness,I only have two class periods left with my favorite teacher. ,surprise,"[0.44439852, 0.051840406, 0.7272513, 0.3952226, 0.84246624, 0.9112815]",0.9112815
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger,"[0.9951965, 0.9869435, 0.9786143, 0.0012539648, 0.90125453, 0.6913687]",0.9951965
sadness,been awake since am. too tired for black friday fun. ,sadness,"[0.6984554, 0.80327386, 0.8718689, 0.00089370436, 0.92110914, 0.8232125]",0.92110914
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,fear,"[0.8374984, 0.7124276, 0.9887446, 0.059246693, 0.7616991, 0.9173604]",0.9887446
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,fear,"[0.48183507, 0.033021104, 0.8930628, 0.0122496085, 0.55685, 0.72238386]",0.8930628
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.9241912, 0.6127856, 0.9964713, 0.0029780327, 0.9767079, 0.92251956]",0.9964713
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",fear,"[0.96110106, 0.88988936, 0.992902, 0.0049187494, 0.8848397, 0.9790764]",0.992902
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,fear,"[0.69121975, 0.20812939, 0.8760226, 0.006291405, 0.7825505, 0.7305264]",0.8760226
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.9752847, 0.97853136, 0.854512, 0.001626135, 0.8640372, 0.9938949]",0.9938949
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.09124293, 0.00027890631, 0.76284176, 0.98495746, 0.008509846, 0.86040545]",0.98495746
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",sadness,"[0.5436902, 0.060803905, 0.8491169, 0.42072493, 0.939823, 0.91433644]",0.939823
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,surprise,"[0.612908, 0.2108163, 0.90196526, 0.2924487, 0.8332377, 0.97407484]",0.97407484
joy,Guess I better start my psychology paper that's due Monday. ,surprise,"[0.48813793, 0.3925195, 0.687864, 0.0049057156, 0.51204056, 0.92265594]",0.92265594
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.33108562, 0.11390578, 0.7407741, 0.93128765, 0.070272066, 0.97730106]",0.97730106
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",fear,"[0.030165883, 0.023126468, 0.95949143, 0.39677036, 0.4655139, 0.6273792]",0.95949143
joy,Now for the painful walk downstairs ,fear,"[0.9235704, 0.8171919, 0.98334193, 0.00020000088, 0.9666268, 0.8740977]",0.98334193
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.1505076, 0.0018614961, 0.582222, 0.97838235, 0.05890615, 0.9454465]",0.97838235
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.5653581, 0.19701143, 0.8103604, 0.5016838, 0.50853366, 0.95380193]",0.95380193
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.55367714, 0.78132147, 0.86985344, 0.00041308565, 0.66283447, 0.98590356]",0.98590356
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",surprise,"[0.978161, 0.9801134, 0.6549924, 0.0006186123, 0.83416945, 0.9982868]",0.9982868
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,surprise,"[0.90027183, 0.9088208, 0.9020154, 0.7933897, 0.9618691, 0.98600304]",0.98600304
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,surprise,"[0.32876816, 0.60450906, 0.8248063, 0.1747185, 0.7515463, 0.92809707]",0.92809707
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",anger,"[0.8642716, 0.47958025, 0.81949717, 0.060944047, 0.6250749, 0.8464212]",0.8642716
joy,The world didnt give it and the world cant take it away ,surprise,"[0.5433117, 0.5075793, 0.80563265, 0.56617117, 0.69547313, 0.93988144]",0.93988144
joy,time to start this research paper ,surprise,"[0.03834923, 0.00840334, 0.1759199, 0.06520376, 0.007689343, 0.44638374]",0.44638374
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! ,surprise,"[0.16269653, 0.0155031225, 0.8239841, 0.9407204, 0.24072967, 0.968814]",0.968814
joy,Ready to knock some out before . am today ,anger,"[0.7334364, 0.0006528548, 0.10602189, 0.45563796, 0.0018450895, 0.074597456]",0.7334364
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success ,joy,"[0.7680277, 0.0007076012, 0.04722158, 0.9783911, 0.001544833, 0.896658]",0.9783911
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding ,joy,"[0.0012467252, 0.00045226733, 0.46097392, 0.9727787, 0.048585977, 0.18144564]",0.9727787
joy,Just had possibly the most awkward conversation in my life. ,surprise,"[0.750557, 0.7630779, 0.8556284, 0.00018479356, 0.5239218, 0.98206145]",0.98206145
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? ,surprise,"[0.81254804, 0.59201914, 0.63049304, 0.0033263806, 0.2287753, 0.98349774]",0.98349774
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D ",joy,"[0.19932362, 0.01795288, 0.26150435, 0.9004331, 0.07370308, 0.7816582]",0.9004331
joy,Gotta take a customer out for dinner tonight. not ,fear,"[0.28223965, 0.18222755, 0.6208522, 0.005886234, 0.118088305, 0.5876823]",0.6208522
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians ",anger,"[0.969599, 0.47549537, 0.7564546, 0.0022763903, 0.2805632, 0.5431921]",0.969599
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit ",fear,"[0.1335831, 0.030946372, 0.87670803, 0.082682624, 0.7510756, 0.82634765]",0.87670803
fear, I'm also putting off getting an eye test as I know ill need glasses! ,fear,"[0.43529102, 0.40615132, 0.9558759, 0.027316308, 0.64919263, 0.8545555]",0.9558759
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x ",surprise,"[0.07210307, 0.0009962347, 0.38704926, 0.96729785, 0.08559956, 0.97450024]",0.97450024
fear,''What is profound might become absolutely meaningless'' ,surprise,"[0.37171364, 0.28620946, 0.7403446, 0.0020834394, 0.27600202, 0.9259302]",0.9259302
surprise,back on the internet no such thing as writing essays. ,surprise,"[0.3832505, 0.6706933, 0.68318623, 0.018458823, 0.36073524, 0.9712966]",0.9712966
sadness,I want cake. I bet we don't have any. ,surprise,"[0.921634, 0.38643414, 0.7514009, 0.36343595, 0.89318514, 0.9861683]",0.9861683
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal ",joy,"[0.64468235, 0.13919209, 0.845493, 0.9541391, 0.51553947, 0.9256564]",0.9541391
joy,"Remember, men need laughter sometimes more than food. ",surprise,"[0.009642792, 0.0059828362, 0.15130624, 0.51208574, 0.011336017, 0.6459533]",0.6459533
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- ,disgust,"[0.9824905, 0.9910874, 0.87508404, 0.0021089972, 0.9842817, 0.97303087]",0.9910874
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,"[0.89985156, 0.76991254, 0.9941155, 0.0007392798, 0.75819093, 0.8518011]",0.9941155
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",anger,"[0.9876139, 0.9857464, 0.8819805, 0.0009055918, 0.85755455, 0.9312848]",0.9876139
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice ,anger,"[0.9925418, 0.9870587, 0.78903216, 0.005550143, 0.98112637, 0.9896597]",0.9925418
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol ",surprise,"[0.174697, 0.017440703, 0.91860044, 0.9724504, 0.12310121, 0.98273176]",0.98273176
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",joy,"[0.0005999237, 0.000118271004, 0.033515286, 0.9796791, 0.0013940963, 0.5328737]",0.9796791
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,surprise,"[0.85064554, 0.7370328, 0.8719691, 0.00046470825, 0.63624126, 0.89425963]",0.89425963
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . ,surprise,"[0.933528, 0.8899133, 0.8150059, 0.0018672424, 0.9696195, 0.9802859]",0.9802859
fear,Little hesitant to apply deodorant ever again ,fear,"[0.5767351, 0.94076705, 0.9895342, 0.0011466837, 0.7106832, 0.96909875]",0.9895342
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! ,joy,"[0.0004843158, 0.00016778546, 0.06674914, 0.93361115, 0.001517627, 0.37104845]",0.93361115
joy,Guess what? Its Thursday and I have tests today. . . ,surprise,"[0.76817715, 0.551587, 0.91422075, 0.0284467, 0.52540416, 0.98357797]",0.98357797
sadness,Packing to leave tomorrow ,fear,"[0.4541693, 0.25399163, 0.8947795, 0.06329252, 0.37450856, 0.62321883]",0.8947795
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? ",surprise,"[0.83604634, 0.101836465, 0.88819194, 0.9513767, 0.21143894, 0.9869953]",0.9869953
fear,Is it a lack of or a of loneliness that make people put up with bullshit ,sadness,"[0.012297624, 0.013797284, 0.04172816, 0.00014274211, 0.59410363, 0.4153057]",0.59410363
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives ,fear,"[0.6139768, 0.65911037, 0.8802185, 0.0056395284, 0.3431381, 0.71417004]",0.8802185
surprise,I haven't listened to I Remember Me in full in a minute ,fear,"[0.38159114, 0.3622219, 0.8991991, 0.03463302, 0.56700003, 0.89041066]",0.8991991
joy,gotta get up in hours to ride a plane ,fear,"[0.41282845, 0.24009451, 0.8973927, 0.0017076917, 0.2904789, 0.82359827]",0.8973927
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. ,joy,"[0.01049795, 0.004981681, 0.2722062, 0.87866575, 0.079242766, 0.46596962]",0.87866575
anger,words cant even describe how i feel right nowww! mad cmonguys ,anger,"[0.9984125, 0.9972964, 0.7742419, 0.51326025, 0.9476318, 0.98110193]",0.9984125
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far ,sadness,"[0.37882602, 0.9723068, 0.9750866, 0.00023533274, 0.98613656, 0.94417936]",0.98613656
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! ,anger,"[0.9953656, 0.71797276, 0.99432796, 0.00040478856, 0.81717587, 0.9657657]",0.9953656
joy,Working my first Campbell game of the year ,surprise,"[0.5627777, 0.20864236, 0.8024353, 0.5670114, 0.5662088, 0.95910406]",0.95910406
surprise,Your o dancing like your o big when your boob pops out scotch ,joy,"[0.9323943, 0.9734837, 0.28614762, 0.9935741, 0.004061393, 0.9887093]",0.9935741
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! ,joy,"[0.3108251, 0.18265115, 0.6899693, 0.98506063, 0.38024235, 0.90939987]",0.98506063
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! ",fear,"[0.7391186, 0.8507181, 0.93084425, 0.00097602623, 0.40569216, 0.62892926]",0.93084425
sadness,Is wanting  to be healthy to join me back in the paint ,surprise,"[0.014764703, 0.0008155867, 0.07055342, 0.0065340158, 0.26778775, 0.6996051]",0.6996051
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN ",surprise,"[0.13092236, 0.0556002, 0.31486425, 0.3391081, 0.117323525, 0.6440932]",0.6440932
