labels,text,feels_s,prob_feels_s,emotion_word,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.015274111181497574, 0.032412588596343994, 0.02425084449350834, 0.6236172318458557, 0.9957454800605774, 0.0199506226927042, 0.2114156186580658]",pleasure,0.9957454800605774
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.9472070932388306, 0.9805404543876648, 0.9960979223251343, 0.8661767244338989, 0.05210273712873459, 0.9920819997787476, 0.4458357095718384]",anxiety,0.9960979223251343
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,guilt,"[0.9688452482223511, 0.9849534034729004, 0.9027626514434814, 0.9928105473518372, 0.04425233602523804, 0.9618476629257202, 0.9198122620582581]",misconduct,0.9928105473518372
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.9289527535438538, 0.9806657433509827, 0.8949132561683655, 0.9945808053016663, 0.016075119376182556, 0.9791046380996704, 0.971372663974762]",regretful,0.9945808053016663
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.992239236831665, 0.9944735169410706, 0.9534274935722351, 0.9826212525367737, 0.2237713783979416, 0.9832496047019958, 0.9889422655105591]",repugnance,0.9944735169410706
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.9883726239204407, 0.9945421814918518, 0.8460519313812256, 0.9806703329086304, 0.06762222200632095, 0.9957659244537354, 0.9621972441673279]",unhappy,0.9957659244537354
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.17944470047950745, 0.9912334084510803, 0.45257553458213806, 0.9976673126220703, 0.008051969110965729, 0.9203557372093201, 0.9881452322006226]",guilty,0.9976673126220703
joy,After my girlfriend had taken her exam we went to her parent's place. ,joy,"[0.8493648767471313, 0.8130678534507751, 0.9492721557617188, 0.9336462616920471, 0.9521416425704956, 0.8604708313941956, 0.8648481965065002]",accomplished,0.9521416425704956
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.7013749480247498, 0.9668809771537781, 0.9765022993087769, 0.9647387266159058, 0.7762988805770874, 0.9909817576408386, 0.7316839694976807]",grieved,0.9909817576408386
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.97662353515625, 0.91888028383255, 0.9600942134857178, 0.9503185153007507, 0.17282074689865112, 0.9532802700996399, 0.6585792303085327]",irritated,0.97662353515625
