labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,joy,joy,joy,"[0.011183387, 0.023836048, 0.011876059, 0.10755542, 0.8286339, 0.010385522, 0.027006637]","[0.009515535, 0.06767366, 0.058820255, 0.24165227, 0.8744116, 0.12728675, 0.14089186]","[0.0015791617, 0.008292532, 0.49857044, 0.05696136, 0.84982, 0.06464511, 0.0027343533]","[0.010654979, 0.04091334, 0.06306458, 0.21620104, 0.72285444, 0.01167557, 0.04558387]",joy
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,fear,fear,sadness,"[0.5321802, 0.53824353, 0.9484553, 0.8508011, 0.001540064, 0.8850842, 0.756061]","[0.78438157, 0.8076081, 0.9847142, 0.95436114, 0.00050254987, 0.9841561, 0.8292929]","[0.77974874, 0.6547855, 0.9848125, 0.9083047, 0.0001530782, 0.9777426, 0.431539]","[0.57294106, 0.5971356, 0.8618299, 0.6752941, 0.0005274005, 0.9568981, 0.5576055]",sadness
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,shame,shame,anger,sadness,"[0.8491841, 0.8424743, 0.7664565, 0.6707211, 0.00692495, 0.8941081, 0.9396845]","[0.94965774, 0.91319865, 0.89127326, 0.6920781, 0.0006861403, 0.95565015, 0.9611518]","[0.9569098, 0.8347608, 0.782435, 0.6863533, 0.00031734144, 0.9085157, 0.866526]","[0.8174988, 0.7964244, 0.7266403, 0.71066976, 0.0048844507, 0.93654966, 0.8045592]",sadness
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,shame,sadness,sadness,sadness,"[0.1729829, 0.641142, 0.39783588, 0.811797, 0.18996717, 0.7472141, 0.85020113]","[0.631082, 0.7138575, 0.7348236, 0.9258919, 0.06118668, 0.96529216, 0.929095]","[0.44791406, 0.5197619, 0.6960046, 0.90314656, 0.020976609, 0.9337181, 0.581837]","[0.5227835, 0.6487621, 0.5617029, 0.6923941, 0.21463284, 0.8346465, 0.7394769]",sadness
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,disgust,anger,disgust,"[0.6974387, 0.8079948, 0.6853191, 0.61052644, 0.020594398, 0.68918836, 0.8414425]","[0.9286449, 0.97060794, 0.6992928, 0.76912194, 0.0005571011, 0.81401414, 0.9319609]","[0.8669115, 0.84232706, 0.8216509, 0.62446684, 0.0005040788, 0.55164176, 0.54584825]","[0.8713869, 0.875165, 0.6759444, 0.5953926, 0.001644888, 0.6012754, 0.78560144]",disgust
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,sadness,sadness,sadness,"[0.54304755, 0.79530823, 0.59062016, 0.663745, 0.015799044, 0.8406523, 0.77354825]","[0.90934324, 0.8376287, 0.6187709, 0.61270225, 0.00014199154, 0.92649, 0.83204573]","[0.85794353, 0.5264115, 0.611417, 0.5236899, 0.00014593451, 0.9511393, 0.4127375]","[0.76731974, 0.7387466, 0.5132935, 0.5686368, 0.00016753335, 0.81339425, 0.63935566]",sadness
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,guilt,guilt,guilt,"[0.49664575, 0.7384365, 0.63993335, 0.9885117, 0.0021816387, 0.83009744, 0.93900347]","[0.730985, 0.9068506, 0.85842806, 0.9957242, 0.003060014, 0.9683634, 0.98720723]","[0.37921542, 0.83207834, 0.8576657, 0.99904364, 0.0005675339, 0.98424476, 0.9827696]","[0.3743504, 0.5803508, 0.7279259, 0.99330693, 0.0005660094, 0.9040613, 0.8974703]",guilt
joy,After my girlfriend had taken her exam we went to her parent's place. ,anger,guilt,fear,fear,"[0.5202137, 0.49101096, 0.45244086, 0.41388595, 0.3414469, 0.42356655, 0.2616973]","[0.70046514, 0.67387426, 0.6735002, 0.71491814, 0.65810955, 0.69973207, 0.68534803]","[0.5274482, 0.3040031, 0.8631761, 0.4056522, 0.2794485, 0.5308828, 0.19432604]","[0.44558978, 0.47693387, 0.6001235, 0.5581765, 0.4510238, 0.5780903, 0.40222827]",fear
fear,"When, for the first time I realized the meaning of death. ",sadness,sadness,sadness,sadness,"[0.4649835, 0.6852673, 0.5965871, 0.30443752, 0.0013680923, 0.81558216, 0.6686067]","[0.7248655, 0.8351313, 0.95226747, 0.74161136, 0.00042539948, 0.9761787, 0.8742159]","[0.27045462, 0.39840454, 0.80282086, 0.23045118, 0.00018235201, 0.8478288, 0.15065028]","[0.457939, 0.5393807, 0.6313721, 0.39791864, 0.00047943773, 0.886454, 0.5108116]",sadness
anger,When a car is overtaking another and I am forced to drive off the road. ,shame,anger,fear,fear,"[0.6959674, 0.6264416, 0.7173645, 0.70702326, 0.013700627, 0.7016891, 0.8564146]","[0.9378931, 0.8342743, 0.9254556, 0.88773936, 0.0070507936, 0.89263994, 0.92699075]","[0.78808284, 0.6395734, 0.92461944, 0.62709856, 0.0015529898, 0.5595862, 0.53455454]","[0.559442, 0.5696003, 0.6636258, 0.52906746, 0.05560365, 0.48043418, 0.60415155]",fear
