labels,text,prob_emotion,emotion
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,"[0.04691202117828652, 0.01034704917886605, 0.01201674017162683, 0.17899092147126794, 0.9345065603653591, 0.02767143895228704, 0.13949057227000594]",joy
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ","[0.4003448163469633, 0.5377296408017477, 0.929291029771169, 0.6835981085896492, 0.13304047513520345, 0.8927701214949291, 0.2378225076633195]",fear
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,"[0.8445658783117931, 0.7167298495769501, 0.7519029229879379, 0.8077002242207527, 0.22327550849877298, 0.7970985372861226, 0.7633158713579178]",anger
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,"[0.6544848804672558, 0.6771977543830872, 0.7144856949647267, 0.8954422573248546, 0.0528222038410604, 0.8326556881268818, 0.8290710349877675]",guilt
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,"[0.7925666719675064, 0.8114028324683507, 0.8039909054835637, 0.7267091224590938, 0.21727105936345956, 0.656050369143486, 0.8496053318182628]",shame
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,"[0.5694701423247654, 0.5006704013794661, 0.09121684342001876, 0.6064443985621135, 0.04930422158213332, 0.14149312674999237, 0.30588865652680397]",guilt
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,"[0.04909890431251066, 0.23876775382086635, 0.03904799890005961, 0.919174204270045, 0.008287895456305705, 0.29866984440013766, 0.8001673047741253]",guilt
joy,After my girlfriend had taken her exam we went to her parent's place. ,"[0.3440258204936981, 0.2335802571227153, 0.60795429845651, 0.5801706264416377, 0.7457722028096516, 0.5214601010084152, 0.36314276357491815]",joy
fear,"When, for the first time I realized the meaning of death. ","[0.33113096669937175, 0.5553040181597073, 0.8483834465344746, 0.44286810606718063, 0.20653139986097813, 0.8809479425350826, 0.22385077752793828]",sadness
anger,When a car is overtaking another and I am forced to drive off the road. ,"[0.7481491019328435, 0.5864336887995403, 0.864530975619952, 0.7378524243831635, 0.16987765269974867, 0.6250487663783133, 0.6448068072398503]",fear
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ","[0.10063172263714175, 0.19415924170364934, 0.11581890347103277, 0.3156394225855669, 0.04686110521045824, 0.2431164973725875, 0.2880394582947095]",guilt
disgust,When I found a bristle in the liver paste tube. ,"[0.8214442382256191, 0.8549791524807613, 0.8874117136001587, 0.8322448109587033, 0.3933212921644251, 0.7128222572306793, 0.8558841596047084]",fear
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ","[0.9439867188533146, 0.7828608353932698, 0.31889764219522476, 0.6045878827571869, 0.11877510544339505, 0.16720741374107698, 0.5484303658207257]",anger
