labels,text,feels_s,prob_feels_s,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0060368317062966526, 0.008303040095294515, 0.00899204658344388, 0.24946883165587982, 0.9678504566351572, 0.01091818829687933, 0.05132676909367243]",0.9678504566351572
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.5613333533207575, 0.5376418481270472, 0.9888092080752054, 0.7456414103507996, 0.011148571997182444, 0.9293863773345947, 0.266922311236461]",0.9888092080752054
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.9455327888329824, 0.6611972401539484, 0.7950674692789713, 0.9181544681390127, 0.013317341528212031, 0.7636916587750117, 0.8233151733875275]",0.9455327888329824
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.784533311923345, 0.6752162588139375, 0.7868706981341044, 0.9832325577735901, 0.004608830960933119, 0.822087953488032, 0.9183164834976196]",0.9832325577735901
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,"[0.9074144959449768, 0.8394855558872223, 0.85584623614947, 0.8912429908911387, 0.05634388044321289, 0.6857145341734091, 0.9391702115535736]",0.9391702115535736
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.7367193152507147, 0.76270858446757, 0.4654579994579156, 0.9553017020225525, 0.018791336052042123, 0.6592910513281822, 0.7477817436059316]",0.9553017020225525
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.07443438447080553, 0.32231151685118675, 0.19552170733610788, 0.9491959512233734, 0.00310021685436368, 0.38361503059665364, 0.8856888115406036]",0.9491959512233734
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.5929107914368311, 0.36582617834210396, 0.7381825745105743, 0.8315346936384836, 0.7427634845177332, 0.6642945806185404, 0.5424817154804865]",0.8315346936384836
fear,"When, for the first time I realized the meaning of death. ",fear,"[0.44809137284755707, 0.7075327063600222, 0.9518901308377584, 0.7121754636367162, 0.13155659136828035, 0.8944777349630991, 0.42192625006039935]",0.9518901308377584
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.8339982430140177, 0.4102823498348395, 0.8692296048005422, 0.7716334164142609, 0.05066198095058402, 0.5706148880223433, 0.4676469291249911]",0.8692296048005422
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.3360679264490803, 0.3395494098464648, 0.32324167682478827, 0.6614664296309153, 0.019951830812109012, 0.5465801556905111, 0.4088647837440173]",0.6614664296309153
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.8714888493220011, 0.5958686557908853, 0.8629647095998129, 0.9256725907325745, 0.21570130014636865, 0.5633262073000272, 0.804230123758316]",0.9256725907325745
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.7909709711869558, 0.3706412340203921, 0.529417826483647, 0.7254257698853811, 0.011483852673942843, 0.5005098258455595, 0.4700975666443507]",0.7909709711869558
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.49863384664058685, 0.44761502494414646, 0.5612736530601978, 0.9658331473668417, 0.02331733451380084, 0.5718588332335154, 0.6130212197701136]",0.9658331473668417
joy,When I pass an examination which I did not think I did well. ,joy,"[0.43272806455691654, 0.2499111176778873, 0.4464624561369419, 0.7051062981287638, 0.9092662731806437, 0.23580381274223328, 0.31466996545592946]",0.9092662731806437
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.3745461230476697, 0.20089532186587652, 0.9125231504440308, 0.7039491434892019, 0.0011599104036577046, 0.688943217198054, 0.214100311199824]",0.9125231504440308
anger,When one is unjustly accused of something one has not done. ,anger,"[0.8799155354499817, 0.6331207752227783, 0.7907704909642538, 0.6258179247379303, 0.0021675152723522237, 0.6907784889141718, 0.8231193025906881]",0.8799155354499817
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.5648594064017137, 0.5982513651251793, 0.4559969864785671, 0.3843826154867808, 0.0012462550463775794, 0.8007690062125524, 0.35494234909613925]",0.8007690062125524
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",anger,"[0.834215114514033, 0.7188676049311956, 0.7257522096236547, 0.6432854880889257, 0.0040946416653847946, 0.6896010475854079, 0.7162345747152964]",0.834215114514033
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7490940590699514, 0.6881572703520457, 0.37729085236787796, 0.9058222472667694, 0.010078830227333432, 0.5137684072057406, 0.7638544738292694]",0.9058222472667694
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.850541353225708, 0.7975571354230245, 0.5830331246058146, 0.9272397458553314, 0.0030057573943243674, 0.750949407617251, 0.841429591178894]",0.9272397458553314
joy,Passing an exam I did not expect to pass. ,joy,"[0.5421921089291573, 0.1530866598865638, 0.6672971894343694, 0.4017648821075757, 0.9649131000041962, 0.0909122380738457, 0.08261175515751044]",0.9649131000041962
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.6839475234349569, 0.646676222483317, 0.7468283275763193, 0.8403577307860056, 0.28113603917881846, 0.8239840070406595, 0.637160062789917]",0.8403577307860056
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.2340498467286428, 0.38527747988700867, 0.6314706355333328, 0.5494290590286255, 0.12644210613022247, 0.2831054925918579, 0.47056617463628453]",0.6314706355333328
joy,When I had my children. ,joy,"[0.4425302135447661, 0.19330552220344543, 0.4595600577692191, 0.6853159964084625, 0.813330074151357, 0.4118624192972978, 0.33916960780819255]",0.813330074151357
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7074418912331263, 0.4447840501864751, 0.7661814987659454, 0.8415139019489288, 0.5142206077774366, 0.6131552110115687, 0.5267342825730642]",0.8415139019489288
anger,When my partner was attacked and lost three teeth. ,anger,"[0.9471756815910339, 0.7299084564050039, 0.9440722068150839, 0.9135353565216064, 0.08314998249989003, 0.8530455728371938, 0.8055950403213501]",0.9471756815910339
sadness,When I see children on T. V from areas devastated by drought and war. ,fear,"[0.8988498151302338, 0.7621113359928131, 0.9410511255264282, 0.9193819363911947, 0.06598161238556106, 0.8887684444586436, 0.7540822327136993]",0.9410511255264282
