labels,text,expr_s,prob_expr_s,emotion_word,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.06631812453269958, 0.00978200975805521, 0.04966941475868225, 0.7532970905303955, 0.9854763150215149, 0.04247153177857399, 0.16018101572990417]",pleasure,0.9854763150215149
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.8980329036712646, 0.9763050079345703, 0.9941904544830322, 0.9139623641967773, 0.03760570287704468, 0.9769095778465271, 0.17206846177577972]",anxiety,0.9941904544830322
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,disgust,"[0.9498520493507385, 0.9866880774497986, 0.9016367197036743, 0.8998486995697021, 0.009924941696226597, 0.9682732224464417, 0.6713261604309082]",repugnance,0.9866880774497986
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.8634171485900879, 0.924793541431427, 0.7755448818206787, 0.9944477081298828, 0.09320022910833359, 0.9528476595878601, 0.920167863368988]",regret,0.9944477081298828
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.9866887927055359, 0.9899736642837524, 0.9517853856086731, 0.9050074219703674, 0.06507159769535065, 0.9844943881034851, 0.9489505290985107]",repugnance,0.9899736642837524
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,disgust,"[0.9599570631980896, 0.9737539887428284, 0.4707239866256714, 0.9605883955955505, 0.29762375354766846, 0.9737024307250977, 0.7774883508682251]",repugnance,0.9737539887428284
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.13593126833438873, 0.9737970232963562, 0.48765239119529724, 0.9920519590377808, 0.027645181864500046, 0.8361047506332397, 0.9808425903320312]",guilt,0.9920519590377808
joy,After my girlfriend had taken her exam we went to her parent's place. ,joy,"[0.5586450695991516, 0.33425697684288025, 0.6068980693817139, 0.5862522125244141, 0.8058772683143616, 0.4611424505710602, 0.17043918371200562]",an achievement,0.8058772683143616
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.20100340247154236, 0.9362389445304871, 0.961105227470398, 0.9243621826171875, 0.32088229060173035, 0.9752396941184998, 0.08780642598867416]",sadness,0.9752396941184998
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.9708911180496216, 0.9697543382644653, 0.9743922352790833, 0.8302360773086548, 0.20868279039859772, 0.9590537548065186, 0.6423141956329346]",fear,0.9743922352790833
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.6755357384681702, 0.6776134371757507, 0.3149802088737488, 0.8058817982673645, 0.08730672299861908, 0.7060350179672241, 0.11570312827825546]",regret,0.8058817982673645
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.9884926080703735, 0.9822829365730286, 0.9577949047088623, 0.8181979656219482, 0.5342742204666138, 0.9707629084587097, 0.9242913126945496]",annoyance,0.9884926080703735
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9920101165771484, 0.9703608155250549, 0.5521002411842346, 0.9783284664154053, 0.005291523411870003, 0.9800741076469421, 0.9621981382369995]",irritation,0.9920101165771484
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.9640092253684998, 0.8821231126785278, 0.8493929505348206, 0.9926539659500122, 0.07373136281967163, 0.9671155214309692, 0.7629624009132385]",blameworthy,0.9926539659500122
joy,When I pass an examination which I did not think I did well. ,joy,"[0.9237133860588074, 0.9736829996109009, 0.9376410841941833, 0.7886018753051758, 0.9915341734886169, 0.9528789520263672, 0.8643888235092163]",an achievement,0.9915341734886169
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.9504941701889038, 0.8079090714454651, 0.9912386536598206, 0.943135678768158, 0.005665989592671394, 0.9673280715942383, 0.21224857866764069]",anxiety,0.9912386536598206
anger,When one is unjustly accused of something one has not done. ,disgust,"[0.970466673374176, 0.9847859740257263, 0.922973096370697, 0.6323255300521851, 0.1307140737771988, 0.9663896560668945, 0.9088948965072632]",repugnance,0.9847859740257263
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.9738323092460632, 0.931351363658905, 0.9017205238342285, 0.8704075813293457, 0.011988732032477856, 0.9843648672103882, 0.5199639797210693]",unhappiness,0.9843648672103882
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.9636160135269165, 0.9895044565200806, 0.9250761270523071, 0.9394915103912354, 0.014427980408072472, 0.967285692691803, 0.8950976133346558]",repugnance,0.9895044565200806
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.9760562181472778, 0.9850045442581177, 0.6451690793037415, 0.9962891340255737, 0.006350308656692505, 0.9782031178474426, 0.97981196641922]",blameworthy,0.9962891340255737
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.9514934420585632, 0.9792962074279785, 0.8392647504806519, 0.9923756718635559, 0.07322027534246445, 0.9823234677314758, 0.9525814056396484]",blameworthy,0.9923756718635559
joy,Passing an exam I did not expect to pass. ,joy,"[0.7172542214393616, 0.3137838542461395, 0.9176204204559326, 0.5983045697212219, 0.9978523254394531, 0.23181389272212982, 0.08539340645074844]",an achievement,0.9978523254394531
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.9496293663978577, 0.890017569065094, 0.9236403703689575, 0.9940667152404785, 0.24892187118530273, 0.9628327488899231, 0.9322484135627747]",blameworthy,0.9940667152404785
