labels,text,emotion,prob_emotion,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.010654979, 0.04091334, 0.06306458, 0.21620104, 0.72285444, 0.01167557, 0.04558387]",0.72285444
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",sadness,"[0.57294106, 0.5971356, 0.8618299, 0.6752941, 0.0005274005, 0.9568981, 0.5576055]",0.9568981
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,sadness,"[0.8174988, 0.7964244, 0.7266403, 0.71066976, 0.0048844507, 0.93654966, 0.8045592]",0.93654966
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.5227835, 0.6487621, 0.5617029, 0.6923941, 0.21463284, 0.8346465, 0.7394769]",0.8346465
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.8713869, 0.875165, 0.6759444, 0.5953926, 0.001644888, 0.6012754, 0.78560144]",0.875165
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.76731974, 0.7387466, 0.5132935, 0.5686368, 0.00016753335, 0.81339425, 0.63935566]",0.81339425
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.3743504, 0.5803508, 0.7279259, 0.99330693, 0.0005660094, 0.9040613, 0.8974703]",0.99330693
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,"[0.44558978, 0.47693387, 0.6001235, 0.5581765, 0.4510238, 0.5780903, 0.40222827]",0.6001235
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.457939, 0.5393807, 0.6313721, 0.39791864, 0.00047943773, 0.886454, 0.5108116]",0.886454
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.559442, 0.5696003, 0.6636258, 0.52906746, 0.05560365, 0.48043418, 0.60415155]",0.6636258
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.120522715, 0.29591802, 0.16839384, 0.40717357, 0.0026132988, 0.16435504, 0.25278807]",0.40717357
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.44484743, 0.69786155, 0.58316404, 0.47302482, 0.39448762, 0.41821697, 0.55957186]",0.69786155
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.83194613, 0.6727181, 0.57869786, 0.56765705, 0.0004297722, 0.35274273, 0.70087117]",0.83194613
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.76454234, 0.79643005, 0.70101595, 0.8590628, 0.00829283, 0.5533622, 0.847009]",0.8590628
joy,When I pass an examination which I did not think I did well. ,sadness,"[0.46085644, 0.52130854, 0.4279151, 0.43957657, 0.40271646, 0.5786115, 0.54473776]",0.5786115
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.56731457, 0.5332394, 0.8271074, 0.732354, 0.00024025519, 0.8027969, 0.6777739]",0.8271074
anger,When one is unjustly accused of something one has not done. ,sadness,"[0.83213085, 0.7380596, 0.7261658, 0.66950417, 0.0073623676, 0.86067444, 0.7793056]",0.86067444
sadness,When one's studies seem hopelessly difficult and uninteresting. ,disgust,"[0.48223126, 0.74905235, 0.57599294, 0.44652364, 0.0012659946, 0.6671052, 0.7260169]",0.74905235
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,"[0.81343275, 0.75992584, 0.7097553, 0.620754, 0.12329125, 0.8715962, 0.7389607]",0.8715962
shame,"When one has been unjust, stupid towards someone else. ",anger,"[0.842045, 0.75455713, 0.3618777, 0.77981985, 0.0018441308, 0.7470359, 0.8104857]",0.842045
guilt,When one has neglected or been unjust to a good friend. ,sadness,"[0.7665434, 0.6878914, 0.42551574, 0.78887737, 0.00496371, 0.8291653, 0.77369905]",0.8291653
joy,Passing an exam I did not expect to pass. ,joy,"[0.31473234, 0.24701768, 0.49846184, 0.42903543, 0.8269815, 0.19294734, 0.14280672]",0.8269815
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.6295526, 0.7120195, 0.7591266, 0.56089574, 0.090913385, 0.32228234, 0.6594636]",0.7591266
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.6661158, 0.6699682, 0.701429, 0.638631, 0.004847861, 0.59048814, 0.67638224]",0.701429
joy,When I had my children. ,joy,"[0.43759602, 0.421702, 0.5467774, 0.57219565, 0.7197568, 0.5858061, 0.4020121]",0.7197568
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,"[0.51242864, 0.5554738, 0.7164043, 0.5441463, 0.15430383, 0.5296172, 0.56274134]",0.7164043
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.68140733, 0.6210439, 0.7284298, 0.5522221, 0.035772115, 0.8619015, 0.5764185]",0.8619015
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.48544562, 0.5842144, 0.4316004, 0.4418119, 0.057625458, 0.9110561, 0.52120847]",0.9110561
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,sadness,"[0.6675328, 0.8094653, 0.7053712, 0.6210785, 0.43886578, 0.81138104, 0.75920284]",0.81138104
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.020906698, 0.16849828, 0.28701848, 0.9665001, 0.0002535762, 0.5992568, 0.7729517]",0.9665001
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.0789737, 0.14307328, 0.46120098, 0.99656457, 0.00017463024, 0.8469325, 0.64144397]",0.99656457
joy,When my child was born. ,joy,"[0.41169396, 0.40309814, 0.47648185, 0.5327187, 0.8099681, 0.45693138, 0.30669478]",0.8099681
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.6749455, 0.5924551, 0.8735559, 0.601219, 0.02464465, 0.7835152, 0.696107]",0.8735559
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.9227543, 0.8585513, 0.79644895, 0.7476142, 0.00013183225, 0.70935607, 0.8508238]",0.9227543
sadness,Failing an examination. ,shame,"[0.8271168, 0.92167413, 0.7555207, 0.8790504, 0.0027868077, 0.91775554, 0.9310956]",0.9310956
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.00044599106, 0.9482012, 0.009578154, 0.05916895, 0.0003277989, 0.99233186, 0.18590692]",0.99233186
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.6905192, 0.6573344, 0.6223619, 0.6728857, 0.002597793, 0.5026596, 0.76763254]",0.76763254
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.40803787, 0.31766275, 0.42003286, 0.53676194, 0.14726423, 0.34151244, 0.21672834]",0.53676194
joy,When I saw a person I had not seen for a long time. ,sadness,"[0.5088941, 0.44843003, 0.6512965, 0.5803427, 0.4751008, 0.7501519, 0.45675853]",0.7501519
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.63156354, 0.6576619, 0.7973844, 0.6625409, 0.122462645, 0.7849439, 0.67027223]",0.7973844
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",sadness,"[0.82144105, 0.885817, 0.82023954, 0.56609595, 0.0013945691, 0.9185428, 0.827273]",0.9185428
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.21839717, 0.3175663, 0.39119884, 0.49532905, 0.00073773536, 0.6390195, 0.4378834]",0.6390195
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.6389983, 0.7687038, 0.5116628, 0.50134826, 0.0006068899, 0.81433284, 0.66601926]",0.81433284
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",shame,"[0.71751547, 0.75057846, 0.7645166, 0.8171241, 0.049884085, 0.8370927, 0.84919363]",0.84919363
guilt,When one lets friends down ,sadness,"[0.7241277, 0.71041083, 0.6702325, 0.8297078, 0.0005346521, 0.94585687, 0.89325607]",0.94585687
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.15815121, 0.22587347, 0.22929053, 0.21733725, 0.63482225, 0.06018127, 0.27704927]",0.63482225
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.08591409, 0.07904579, 0.9682487, 0.37122947, 0.00019327969, 0.003991053, 0.37207085]",0.9682487
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",disgust,"[0.6923676, 0.69541216, 0.68385714, 0.61548287, 0.0967933, 0.6686, 0.64817923]",0.69541216
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.66063255, 0.6773817, 0.6583765, 0.6083542, 0.043330733, 0.88843143, 0.7447221]",0.88843143
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.7484965, 0.9938451, 0.69934416, 0.6201025, 0.00028106986, 0.50191754, 0.8626879]",0.9938451
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.74829036, 0.86126876, 0.7517216, 0.8718005, 0.0002742428, 0.9673872, 0.9832876]",0.9832876
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,sadness,"[0.8025529, 0.7827047, 0.76606774, 0.77897584, 0.23150079, 0.8577055, 0.6937248]",0.8577055
joy,Passed an exam by points. ,joy,"[0.15464947, 0.20578663, 0.24017678, 0.3358348, 0.41828233, 0.05541846, 0.1595466]",0.41828233
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.62978435, 0.7346369, 0.80619794, 0.5985121, 0.13774765, 0.7472794, 0.6927694]",0.80619794
sadness,Railway station good-bye. ,sadness,"[0.55651677, 0.671276, 0.73742634, 0.4657414, 0.020256087, 0.97578865, 0.59074616]",0.97578865
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.5635842, 0.78828657, 0.7758331, 0.6381795, 0.012130513, 0.8851987, 0.79226327]",0.8851987
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.4523537, 0.4332276, 0.6590983, 0.43515894, 0.1829763, 0.6478359, 0.417629]",0.6590983
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,sadness,"[0.8305015, 0.79105395, 0.6951076, 0.9107965, 0.022239774, 0.92896605, 0.75669754]",0.92896605
