labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,joy,joy,joy,"[0.01223683, 0.02311271, 0.036728803, 0.12473532, 0.70003605, 0.017224398, 0.103323035]","[0.0142892655, 0.037882283, 0.036830854, 0.27771443, 0.4800659, 0.05891967, 0.13060416]","[0.007814233, 0.0096044345, 0.30084753, 0.062146876, 0.886259, 0.021418205, 0.02187187]","[0.0044134874, 0.0041900957, 0.0041970247, 0.040886067, 0.25722775, 0.006289616, 0.008988354]",joy
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",sadness,fear,guilt,fear,"[0.4046857, 0.82228035, 0.9852889, 0.9706778, 0.010231132, 0.9868045, 0.8546005]","[0.638377, 0.81433374, 0.98823696, 0.9007318, 0.004396733, 0.9723662, 0.915268]","[0.9355625, 0.9781319, 0.9829159, 0.98663586, 0.0036847463, 0.986284, 0.8272142]","[0.2995849, 0.5884371, 0.9504641, 0.78547007, 0.004374456, 0.89312667, 0.56254536]",fear
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,anger,anger,sadness,"[0.9665114, 0.9459764, 0.7747656, 0.95099145, 0.011165779, 0.9515577, 0.93012524]","[0.9511955, 0.86471117, 0.84149426, 0.7449273, 0.0025028416, 0.8538177, 0.9251161]","[0.98379356, 0.9482292, 0.872177, 0.97534853, 0.0012738833, 0.9416003, 0.97591144]","[0.73463875, 0.8156645, 0.25735345, 0.73790115, 0.0041228994, 0.8844772, 0.79382807]",anger
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,sadness,guilt,guilt,"[0.29272613, 0.38929433, 0.3423271, 0.9568542, 0.046361405, 0.9561232, 0.8535246]","[0.25168732, 0.41575003, 0.41797015, 0.92100596, 0.015598789, 0.9435323, 0.8644422]","[0.83580226, 0.8112584, 0.7861092, 0.99390465, 0.004977639, 0.9817343, 0.9836902]","[0.13982657, 0.2061426, 0.08582124, 0.9008562, 0.0043659434, 0.89627194, 0.5689918]",sadness
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,guilt,fear,anger,disgust,"[0.8843746, 0.95030165, 0.9499107, 0.96698576, 0.08395586, 0.7520175, 0.80010414]","[0.9550712, 0.95733774, 0.9710841, 0.9467438, 0.013209488, 0.7967423, 0.9470888]","[0.9543999, 0.95200336, 0.8481537, 0.8484803, 0.0025840383, 0.6482246, 0.86836696]","[0.5389464, 0.6772841, 0.06707428, 0.3212552, 0.0037939835, 0.14463843, 0.4320721]",disgust
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,anger,sadness,sadness,"[0.9004849, 0.96903867, 0.5422607, 0.8975789, 0.028617946, 0.9708222, 0.7741162]","[0.9271186, 0.8871368, 0.25604352, 0.9032976, 0.0033479435, 0.88787836, 0.83894]","[0.9435305, 0.90370214, 0.8244539, 0.9586468, 0.00049275503, 0.9647218, 0.92834634]","[0.31801167, 0.538986, 0.034495555, 0.3598234, 0.0018724041, 0.6710831, 0.3188858]",sadness
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,shame,shame,guilt,"[0.17751974, 0.8987133, 0.96961546, 0.99427503, 0.00992134, 0.9690412, 0.9699305]","[0.49956217, 0.79196924, 0.96166164, 0.9889916, 0.0044166506, 0.9875136, 0.9916357]","[0.12748505, 0.9262397, 0.9336454, 0.9977679, 0.00025711625, 0.9850117, 0.99818605]","[0.039315306, 0.45017758, 0.14707069, 0.99544746, 0.0031966178, 0.96676743, 0.9525659]",guilt
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,sadness,fear,guilt,"[0.21982256, 0.31024775, 0.341736, 0.6547134, 0.1980956, 0.38771817, 0.4240495]","[0.42418477, 0.37879083, 0.6675931, 0.72524303, 0.35201186, 0.72780526, 0.64274925]","[0.55084354, 0.2631185, 0.8888712, 0.86831385, 0.11197363, 0.6678747, 0.6608883]","[0.045161422, 0.047744595, 0.06419413, 0.30121866, 0.112591684, 0.1498876, 0.10109213]",guilt
fear,"When, for the first time I realized the meaning of death. ",sadness,sadness,sadness,sadness,"[0.13917634, 0.83064836, 0.5937683, 0.7316718, 0.008150164, 0.9694112, 0.7990781]","[0.51398015, 0.7953741, 0.8593598, 0.93233293, 0.005924163, 0.9798132, 0.91013926]","[0.6825476, 0.90516865, 0.9181598, 0.95750624, 0.0021927112, 0.9697281, 0.9341716]","[0.043832794, 0.57203144, 0.027360661, 0.072745554, 0.0025379562, 0.8601791, 0.19430085]",sadness
anger,When a car is overtaking another and I am forced to drive off the road. ,sadness,fear,fear,sadness,"[0.8925372, 0.80910194, 0.9073253, 0.8329928, 0.05244987, 0.90831697, 0.73673326]","[0.9688376, 0.83060503, 0.9734891, 0.92150474, 0.01818144, 0.91689026, 0.8974482]","[0.96375287, 0.8418408, 0.99255764, 0.9512449, 0.0071741645, 0.86586934, 0.9112441]","[0.4189011, 0.37002936, 0.42056656, 0.52307314, 0.0061165662, 0.59976304, 0.41853985]",fear
