labels,text,emotion,prob_emotion,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0719685, 0.004238262, 0.010650431, 0.017198343, 0.882048, 0.019987553, 0.027866634]",0.882048
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.27775952, 0.42588034, 0.9347235, 0.660639, 0.0019642368, 0.9275552, 0.21633188]",0.9347235
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,guilt,"[0.8299282, 0.64614505, 0.7468844, 0.9062602, 0.004369183, 0.85074556, 0.79566437]",0.9062602
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.6301103, 0.67838037, 0.6641449, 0.87340474, 0.0052225054, 0.90853447, 0.81572956]",0.90853447
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,sadness,"[0.760439, 0.8060935, 0.6843204, 0.7115607, 0.012199763, 0.8546442, 0.72619253]",0.8546442
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,"[0.6373458, 0.4954088, 0.037257005, 0.6372163, 0.0027338904, 0.06368687, 0.26366466]",0.6373458
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.0029108217, 0.11615815, 0.019303225, 0.99808, 0.0009832203, 0.084559925, 0.92130303]",0.99808
joy,After my girlfriend had taken her exam we went to her parent's place. ,sadness,"[0.33321765, 0.08491334, 0.43889308, 0.49080038, 0.5005923, 0.5171362, 0.2869726]",0.5171362
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.17408504, 0.4879514, 0.83882433, 0.4009509, 0.00085351116, 0.9495072, 0.18439792]",0.9495072
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7610404, 0.60337925, 0.9302715, 0.6794759, 0.040620904, 0.66044575, 0.6012646]",0.9302715
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.037084278, 0.05775563, 0.050160654, 0.20335421, 0.0071036997, 0.3057114, 0.14969696]",0.3057114
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.81796384, 0.90337425, 0.88325894, 0.8846146, 0.18195264, 0.76633257, 0.81615275]",0.90337425
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9592896, 0.67549795, 0.39999565, 0.500664, 0.0016313307, 0.0073530003, 0.2632871]",0.9592896
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.25736013, 0.29655954, 0.2226142, 0.8188253, 0.0072736256, 0.48021016, 0.53210473]",0.8188253
joy,When I pass an examination which I did not think I did well. ,joy,"[0.21067743, 0.12838894, 0.21118993, 0.378469, 0.7803621, 0.27067602, 0.22520715]",0.7803621
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.14627174, 0.017794387, 0.95941174, 0.7765215, 0.0013847584, 0.7087929, 0.08747569]",0.95941174
anger,When one is unjustly accused of something one has not done. ,guilt,"[0.84323204, 0.672852, 0.85473675, 0.90067637, 0.0012271935, 0.7653359, 0.7882671]",0.90067637
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.366851, 0.53386545, 0.35418367, 0.2794278, 0.001019581, 0.8870067, 0.43384364]",0.8870067
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.645097, 0.81196225, 0.5380813, 0.76525754, 0.01505321, 0.699187, 0.80774254]",0.81196225
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.6701955, 0.75183856, 0.24690379, 0.88856417, 0.002130422, 0.37220544, 0.7537094]",0.88856417
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.771263, 0.7809692, 0.5908636, 0.93438524, 0.0014674879, 0.84708667, 0.82275075]",0.93438524
joy,Passing an exam I did not expect to pass. ,joy,"[0.47243452, 0.14196731, 0.6231775, 0.38880312, 0.8942795, 0.2481862, 0.06536632]",0.8942795
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.5601064, 0.58936, 0.8441073, 0.71038955, 0.19128665, 0.69778746, 0.67132396]",0.8441073
guilt,When excuses are necessary and I get out of doing it myself. ,guilt,"[0.17815633, 0.14268647, 0.53189874, 0.55321914, 0.015462369, 0.29799643, 0.21472956]",0.55321914
joy,When I had my children. ,joy,"[0.12945718, 0.021297477, 0.3592283, 0.46723616, 0.9221229, 0.46080193, 0.19640088]",0.9221229
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.5665048, 0.6834857, 0.7200584, 0.84495676, 0.47899064, 0.33795673, 0.7167286]",0.84495676
anger,When my partner was attacked and lost three teeth. ,fear,"[0.91468716, 0.785441, 0.9601816, 0.87045914, 0.001816453, 0.9527069, 0.79274154]",0.9601816
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.6984442, 0.6830926, 0.7841282, 0.86194664, 0.05209606, 0.96334666, 0.80251306]",0.96334666
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.78152925, 0.88445294, 0.9533855, 0.92536116, 0.28100497, 0.9215341, 0.8568297]",0.9533855
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.0048107, 0.1720039, 0.5454134, 0.99514526, 0.0006637903, 0.4765403, 0.8312956]",0.99514526
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.0039900374, 0.009069661, 0.029887509, 0.9987594, 0.00073019083, 0.030320646, 0.33958188]",0.9987594
joy,When my child was born. ,joy,"[0.11807334, 0.0188173, 0.52197886, 0.6467643, 0.94718933, 0.3947191, 0.13676775]",0.94718933
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",sadness,"[0.79675704, 0.8633146, 0.9762614, 0.9268329, 0.0036278854, 0.97633433, 0.89845717]",0.97633433
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.92827547, 0.7541035, 0.6347588, 0.89850163, 0.0032045373, 0.8093173, 0.8340468]",0.92827547
sadness,Failing an examination. ,sadness,"[0.86840445, 0.8710442, 0.9497508, 0.9291771, 0.0037562628, 0.95637184, 0.95186853]",0.95637184
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.0034854328, 0.985216, 0.0071342923, 0.4400137, 0.0005237003, 0.9949686, 0.83755296]",0.9949686
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.6514826, 0.7735471, 0.8040282, 0.9307848, 0.003938648, 0.6305048, 0.8759301]",0.9307848
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",sadness,"[0.2557946, 0.20695668, 0.16403504, 0.49265444, 0.017978966, 0.7332915, 0.50349224]",0.7332915
joy,When I saw a person I had not seen for a long time. ,joy,"[0.086449005, 0.013283914, 0.16317853, 0.24276948, 0.8482493, 0.41540042, 0.053812668]",0.8482493
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8258971, 0.7337567, 0.95470965, 0.83599675, 0.016426206, 0.9544356, 0.8100812]",0.95470965
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.89168257, 0.9485481, 0.8294772, 0.8866722, 0.0025347436, 0.94542813, 0.8504317]",0.9485481
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.0015247174, 0.002271305, 0.004608754, 0.0038227472, 0.0008911496, 0.423785, 0.0026221129]",0.423785
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.72822595, 0.8024465, 0.82183146, 0.66769785, 0.00063250423, 0.77046394, 0.5595596]",0.82183146
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.36893362, 0.35834286, 0.6246122, 0.86713743, 0.010337496, 0.5773898, 0.7170637]",0.86713743
guilt,When one lets friends down ,guilt,"[0.8059903, 0.8928264, 0.73793757, 0.92870945, 0.00086757296, 0.9270492, 0.90183717]",0.92870945
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.078508124, 0.015010842, 0.14459266, 0.13235448, 0.90729785, 0.076325886, 0.036356673]",0.90729785
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.008675876, 0.008018576, 0.98696846, 0.16324045, 0.0019576966, 0.002978783, 0.03159324]",0.98696846
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.62763774, 0.42978162, 0.7288442, 0.70797104, 0.06582032, 0.91914064, 0.7064537]",0.91914064
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.7796136, 0.6579328, 0.7771965, 0.68695253, 0.0025456254, 0.9332618, 0.788079]",0.9332618
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.08059078, 0.9956801, 0.01049734, 0.34013346, 0.0005205158, 0.0022110422, 0.67801964]",0.9956801
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.13313177, 0.6305284, 0.11428452, 0.99299896, 0.0012801911, 0.68049824, 0.9983652]",0.9983652
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.38749227, 0.29473394, 0.31400537, 0.55959356, 0.28563946, 0.43641227, 0.35918808]",0.55959356
joy,Passed an exam by points. ,joy,"[0.42049047, 0.18447977, 0.32677677, 0.49490902, 0.8608925, 0.31047764, 0.17627926]",0.8608925
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",sadness,"[0.41133076, 0.29563013, 0.86939913, 0.65444887, 0.02072768, 0.9087076, 0.43510163]",0.9087076
sadness,Railway station good-bye. ,sadness,"[0.32272592, 0.25773993, 0.4096737, 0.35984597, 0.18252297, 0.96163195, 0.20216288]",0.96163195
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,sadness,"[0.519194, 0.7013017, 0.469081, 0.54496074, 0.01449404, 0.91510636, 0.694711]",0.91510636
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.29227397, 0.23033534, 0.6824236, 0.37771645, 0.17702644, 0.6023007, 0.42559]",0.6824236
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.53761476, 0.18589573, 0.041674238, 0.84945583, 0.00551241, 0.12463782, 0.26422632]",0.84945583
joy,I passed an exam that I was absolutely certain that I had failed. ,fear,"[0.53735965, 0.16518992, 0.94600654, 0.6470695, 0.93380773, 0.59596735, 0.32893232]",0.94600654
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.00441195, 0.0032484054, 0.9965612, 0.76586735, 0.0007052577, 0.053506736, 0.022849819]",0.9965612
