labels,text,emo_name,prob_emo_name,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.01223683, 0.02311271, 0.036728803, 0.12473532, 0.70003605, 0.017224398, 0.103323035]",0.70003605
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",sadness,"[0.4046857, 0.82228035, 0.9852889, 0.9706778, 0.010231132, 0.9868045, 0.8546005]",0.9868045
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.9665114, 0.9459764, 0.7747656, 0.95099145, 0.011165779, 0.9515577, 0.93012524]",0.9665114
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.29272613, 0.38929433, 0.3423271, 0.9568542, 0.046361405, 0.9561232, 0.8535246]",0.9568542
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,guilt,"[0.8843746, 0.95030165, 0.9499107, 0.96698576, 0.08395586, 0.7520175, 0.80010414]",0.96698576
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.9004849, 0.96903867, 0.5422607, 0.8975789, 0.028617946, 0.9708222, 0.7741162]",0.9708222
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.17751974, 0.8987133, 0.96961546, 0.99427503, 0.00992134, 0.9690412, 0.9699305]",0.99427503
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.21982256, 0.31024775, 0.341736, 0.6547134, 0.1980956, 0.38771817, 0.4240495]",0.6547134
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.13917634, 0.83064836, 0.5937683, 0.7316718, 0.008150164, 0.9694112, 0.7990781]",0.9694112
anger,When a car is overtaking another and I am forced to drive off the road. ,sadness,"[0.8925372, 0.80910194, 0.9073253, 0.8329928, 0.05244987, 0.90831697, 0.73673326]",0.90831697
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.120692365, 0.23843744, 0.30607998, 0.66593844, 0.056010332, 0.39138237, 0.5080896]",0.66593844
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.44746742, 0.65497184, 0.36621994, 0.72858316, 0.20629704, 0.54020566, 0.6504862]",0.72858316
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9874019, 0.9513726, 0.8850464, 0.905779, 0.033662256, 0.9173815, 0.83042806]",0.9874019
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.3091821, 0.30781335, 0.34472013, 0.97759163, 0.057780538, 0.7620659, 0.75699866]",0.97759163
joy,When I pass an examination which I did not think I did well. ,guilt,"[0.45138928, 0.42045903, 0.12860903, 0.8727077, 0.042466782, 0.5199675, 0.61787057]",0.8727077
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,"[0.7142409, 0.54348457, 0.8780828, 0.9794068, 0.07872355, 0.9785129, 0.9690109]",0.9794068
anger,When one is unjustly accused of something one has not done. ,shame,"[0.91649055, 0.8657194, 0.74519837, 0.75953966, 0.039834663, 0.82817435, 0.9338637]",0.9338637
sadness,When one's studies seem hopelessly difficult and uninteresting. ,disgust,"[0.72258395, 0.9757853, 0.79785466, 0.84339505, 0.010037481, 0.9744082, 0.8580426]",0.9757853
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,"[0.7350495, 0.709875, 0.6533309, 0.6789382, 0.083561644, 0.84956706, 0.79668945]",0.84956706
shame,"When one has been unjust, stupid towards someone else. ",shame,"[0.7113578, 0.94350356, 0.2849617, 0.9562172, 0.017535653, 0.8849859, 0.9569821]",0.9569821
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.71053916, 0.65402347, 0.3227425, 0.9720495, 0.04634342, 0.8915144, 0.91879785]",0.9720495
joy,Passing an exam I did not expect to pass. ,guilt,"[0.053450137, 0.01635208, 0.08549056, 0.12996507, 0.08253998, 0.010759051, 0.031693548]",0.12996507
