labels,text,feels_emo,prob_feels_emo,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0015791617, 0.008292532, 0.49857044, 0.05696136, 0.84982, 0.06464511, 0.0027343533]",0.84982
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.77974874, 0.6547855, 0.9848125, 0.9083047, 0.0001530782, 0.9777426, 0.431539]",0.9848125
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.9569098, 0.8347608, 0.782435, 0.6863533, 0.00031734144, 0.9085157, 0.866526]",0.9569098
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.44791406, 0.5197619, 0.6960046, 0.90314656, 0.020976609, 0.9337181, 0.581837]",0.9337181
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,anger,"[0.8669115, 0.84232706, 0.8216509, 0.62446684, 0.0005040788, 0.55164176, 0.54584825]",0.8669115
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.85794353, 0.5264115, 0.611417, 0.5236899, 0.00014593451, 0.9511393, 0.4127375]",0.9511393
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.37921542, 0.83207834, 0.8576657, 0.99904364, 0.0005675339, 0.98424476, 0.9827696]",0.99904364
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,"[0.5274482, 0.3040031, 0.8631761, 0.4056522, 0.2794485, 0.5308828, 0.19432604]",0.8631761
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.27045462, 0.39840454, 0.80282086, 0.23045118, 0.00018235201, 0.8478288, 0.15065028]",0.8478288
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.78808284, 0.6395734, 0.92461944, 0.62709856, 0.0015529898, 0.5595862, 0.53455454]",0.92461944
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.16912895, 0.21217783, 0.3055925, 0.3956021, 0.0014913495, 0.46970037, 0.1422446]",0.46970037
disgust,When I found a bristle in the liver paste tube. ,fear,"[0.46972555, 0.7421204, 0.82710344, 0.4973825, 0.13158947, 0.49315566, 0.36750895]",0.82710344
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9626502, 0.529707, 0.73119235, 0.7837854, 0.00034147888, 0.6160258, 0.38541278]",0.9626502
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.7587742, 0.656753, 0.4735849, 0.9374337, 0.0065361336, 0.8499935, 0.77793264]",0.9374337
joy,When I pass an examination which I did not think I did well. ,anger,"[0.82208645, 0.5019914, 0.7204198, 0.57330424, 0.3528771, 0.64699477, 0.3103688]",0.82208645
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,"[0.72809905, 0.61937714, 0.90880615, 0.91163015, 0.00023013011, 0.8357119, 0.63372004]",0.91163015
anger,When one is unjustly accused of something one has not done. ,anger,"[0.9527727, 0.86790353, 0.4916581, 0.7768438, 0.00068860647, 0.9422402, 0.8116505]",0.9527727
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.5873405, 0.7234895, 0.6648254, 0.5392032, 0.000413814, 0.85750914, 0.7376638]",0.85750914
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",anger,"[0.7878004, 0.7566812, 0.48996302, 0.40372416, 0.0024761625, 0.7793592, 0.46193907]",0.7878004
shame,"When one has been unjust, stupid towards someone else. ",anger,"[0.8699313, 0.7497542, 0.2791815, 0.7337456, 0.00052642816, 0.7497506, 0.8527784]",0.8699313
guilt,When one has neglected or been unjust to a good friend. ,sadness,"[0.61756045, 0.54804045, 0.38087863, 0.71534586, 0.00046581015, 0.7313693, 0.50730294]",0.7313693
joy,Passing an exam I did not expect to pass. ,joy,"[0.1471181, 0.014699055, 0.43687794, 0.16973579, 0.8862822, 0.12842225, 0.009949017]",0.8862822
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.64205664, 0.6220261, 0.94035935, 0.58518064, 0.051046465, 0.6170189, 0.4868052]",0.94035935
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.7583725, 0.6107281, 0.9667654, 0.53347635, 0.0010899823, 0.55137426, 0.45946413]",0.9667654
joy,When I had my children. ,fear,"[0.618215, 0.310983, 0.9184058, 0.6846873, 0.5044911, 0.62923616, 0.27472544]",0.9184058
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,"[0.527309, 0.5882638, 0.9346783, 0.7062219, 0.10004258, 0.5454612, 0.29770514]",0.9346783
anger,When my partner was attacked and lost three teeth. ,anger,"[0.9135365, 0.7400377, 0.8515256, 0.6497425, 0.0011365067, 0.8719367, 0.5526382]",0.9135365
sadness,When I see children on T. V from areas devastated by drought and war. ,anger,"[0.9716713, 0.8625545, 0.9450083, 0.8331723, 0.035972975, 0.95779335, 0.5253621]",0.9716713
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.8600112, 0.9170829, 0.9587469, 0.7183862, 0.19126132, 0.83816314, 0.63491935]",0.9587469
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.4843944, 0.68862635, 0.9335086, 0.99194676, 0.00041462804, 0.9653075, 0.97442865]",0.99194676
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.23454648, 0.7557316, 0.9195971, 0.9984983, 0.00020652523, 0.98719573, 0.98950094]",0.9984983
joy,When my child was born. ,fear,"[0.59159696, 0.2891317, 0.7854861, 0.6459791, 0.69990826, 0.4873902, 0.2474134]",0.7854861
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.57217324, 0.398618, 0.93809646, 0.69587076, 0.0074809454, 0.5957508, 0.37656888]",0.93809646
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.9790643, 0.8530776, 0.8849093, 0.7400963, 8.175037e-05, 0.688543, 0.8008313]",0.9790643
sadness,Failing an examination. ,fear,"[0.8203759, 0.86434686, 0.8950292, 0.8202376, 0.0005267971, 0.8891081, 0.88891006]",0.8950292
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.031198801, 0.9216408, 0.7764381, 0.718866, 0.00033389352, 0.98487884, 0.95626205]",0.98487884
shame,"When, as an adult I have been caught lying or behaving badly. ",fear,"[0.7136106, 0.66249096, 0.8476088, 0.8313152, 0.00041818595, 0.5123048, 0.70722157]",0.8476088
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",fear,"[0.10530152, 0.051824477, 0.6117203, 0.06344599, 0.00067640573, 0.20695192, 0.004433477]",0.6117203
joy,When I saw a person I had not seen for a long time. ,fear,"[0.23507828, 0.17161845, 0.6869415, 0.28325573, 0.14193875, 0.46892023, 0.21863861]",0.6869415
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.7634729, 0.6764946, 0.9648243, 0.68112767, 0.031305395, 0.81105137, 0.47918397]",0.9648243
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.9599083, 0.95112836, 0.7903585, 0.69215053, 0.0024345128, 0.95422876, 0.7315521]",0.9599083
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.02260324, 0.112504534, 0.6548106, 0.44726378, 0.0008256842, 0.9523383, 0.14443725]",0.9523383
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.88332665, 0.8663662, 0.88628846, 0.47616327, 0.00010229478, 0.89467514, 0.49043578]",0.89467514
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",fear,"[0.70876306, 0.66277456, 0.93453276, 0.90161365, 0.0016663896, 0.7650919, 0.80279493]",0.93453276
guilt,When one lets friends down ,sadness,"[0.6918034, 0.7157156, 0.47750348, 0.9218346, 0.00038582244, 0.95266825, 0.8996581]",0.95266825
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.36240277, 0.18587193, 0.77234924, 0.29525545, 0.78199023, 0.40065408, 0.12210219]",0.78199023
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.7463891, 0.33080626, 0.99166554, 0.5355209, 0.0003768568, 0.53895783, 0.47774848]",0.99166554
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",fear,"[0.5127153, 0.49626544, 0.8835854, 0.4364968, 0.027068108, 0.59717155, 0.41525537]",0.8835854
sadness,When I was not accepted as a student in finance and accounting. ,sadness,"[0.88980925, 0.70419204, 0.9137732, 0.69927096, 0.007937757, 0.91720724, 0.76309854]",0.91720724
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9192567, 0.9956084, 0.8492207, 0.8894282, 0.0012953792, 0.7951156, 0.94963604]",0.9956084
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.9424963, 0.9630396, 0.921192, 0.9920257, 0.0008968475, 0.985385, 0.99690884]",0.99690884
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,fear,"[0.4864004, 0.34088704, 0.790118, 0.3253282, 0.023113701, 0.4124524, 0.18939635]",0.790118
joy,Passed an exam by points. ,joy,"[0.020820633, 0.010574819, 0.22330125, 0.043070327, 0.39470217, 0.083072096, 0.00095798826]",0.39470217
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.36681077, 0.41324204, 0.9643608, 0.40911457, 0.009806488, 0.67046905, 0.3070072]",0.9643608
sadness,Railway station good-bye. ,sadness,"[0.5494264, 0.5710462, 0.95647454, 0.5009676, 0.018569198, 0.9617119, 0.33676878]",0.9617119
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,fear,"[0.64334893, 0.73894507, 0.9484841, 0.4799058, 0.0016541516, 0.70984954, 0.46569228]",0.9484841
