labels,text,expr_emo,prob_expr_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.0009876263, 0.0007359771, 0.0015050382, 0.9855907, 0.002688562, 0.07600238]",0.9855907
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",anger,"[0.729236, 0.66914856, 0.6089255, 0.009622771, 0.5337947, 0.4738426]",0.729236
joy,the moment when you get another follower and you cheer. ,joy,"[0.00021177546, 0.00012754143, 0.0001922374, 0.9940797, 0.00023913174, 0.4122922]",0.9940797
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.02668426, 0.008143182, 0.020803252, 0.9677805, 0.008557183, 0.69245505]",0.9677805
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.96516156, 0.99642736, 0.98255897, 0.096483015, 0.94565386, 0.9628686]",0.99642736
joy,If ur heart hurts all the time for tht person something isn't right where's the ,fear,"[0.72440046, 0.8944162, 0.9367011, 0.00025886562, 0.88729674, 0.8823393]",0.9367011
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",disgust,"[0.99292165, 0.9935743, 0.98387194, 0.00014993988, 0.99302506, 0.9391596]",0.9935743
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.0002988603, 0.00019431431, 0.0061082984, 0.9976399, 0.00023256152, 0.76845145]",0.9976399
fear,Making art and viewing art are different at their core! ,surprise,"[0.4962748, 0.25606057, 0.07765346, 0.15591495, 0.22876371, 0.9335284]",0.9335284
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.9894593, 0.9937517, 0.9785412, 0.011486661, 0.98249614, 0.9917824]",0.9937517
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",sadness,"[0.95861065, 0.94740564, 0.9433198, 0.0052660154, 0.9700759, 0.9233554]",0.9700759
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",joy,"[0.98202455, 0.9201651, 0.85237813, 0.9826482, 0.8791502, 0.9732728]",0.9826482
surprise,People know they can pull you down and they dont give a care ,anger,"[0.97188056, 0.971116, 0.91689396, 0.00042470562, 0.8000137, 0.04040469]",0.97188056
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.983714, 0.9838727, 0.9958546, 0.0002571074, 0.9981217, 0.86581355]",0.9981217
joy,chips and curry sauce ,joy,"[0.36608657, 0.5422556, 0.03707182, 0.8221895, 0.14163737, 0.50598407]",0.8221895
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.9949233, 0.9517105, 0.9611129, 0.5433097, 0.71210754, 0.8907891]",0.9949233
joy,Oh and off to work till midnight -. - ,surprise,"[0.615111, 0.46551466, 0.6895505, 0.0077482127, 0.7275603, 0.8980329]",0.8980329
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,surprise,"[0.76472414, 0.7806042, 0.926714, 0.0837096, 0.7694021, 0.9711782]",0.9711782
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,anger,"[0.980101, 0.7922014, 0.5242172, 0.97758365, 0.0639367, 0.97858787]",0.980101
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,disgust,"[0.97302115, 0.98679984, 0.9680931, 0.00024015008, 0.98139703, 0.9259344]",0.98679984
fear,large crowds of manic football fans amp mascots ,surprise,"[0.58077097, 0.051271897, 0.046189602, 0.46925557, 0.00320075, 0.62427455]",0.62427455
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,surprise,"[0.0013040545, 0.001014812, 0.0020839523, 0.701143, 0.0021589478, 0.89209944]",0.89209944
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.0005387554, 0.002369122, 0.0027791217, 0.9448746, 0.00686436, 0.36710796]",0.9448746
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.0025097819, 0.0004171986, 0.0012690054, 0.9960288, 0.0009682393, 0.09616882]",0.9960288
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,anger,"[0.9867851, 0.92244524, 0.9134333, 0.9441539, 0.91053087, 0.9716062]",0.9867851
joy,Nobody up worth talking too so back to sleep I try to go! ,sadness,"[0.81759024, 0.88629395, 0.8854058, 0.0009470843, 0.95692605, 0.8916678]",0.95692605
