labels,text,emotion,prob_emotion,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0044134874, 0.0041900957, 0.0041970247, 0.040886067, 0.25722775, 0.006289616, 0.008988354]",0.25722775
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.2995849, 0.5884371, 0.9504641, 0.78547007, 0.004374456, 0.89312667, 0.56254536]",0.9504641
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,sadness,"[0.73463875, 0.8156645, 0.25735345, 0.73790115, 0.0041228994, 0.8844772, 0.79382807]",0.8844772
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.13982657, 0.2061426, 0.08582124, 0.9008562, 0.0043659434, 0.89627194, 0.5689918]",0.9008562
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.5389464, 0.6772841, 0.06707428, 0.3212552, 0.0037939835, 0.14463843, 0.4320721]",0.6772841
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.31801167, 0.538986, 0.034495555, 0.3598234, 0.0018724041, 0.6710831, 0.3188858]",0.6710831
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.039315306, 0.45017758, 0.14707069, 0.99544746, 0.0031966178, 0.96676743, 0.9525659]",0.99544746
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.045161422, 0.047744595, 0.06419413, 0.30121866, 0.112591684, 0.1498876, 0.10109213]",0.30121866
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.043832794, 0.57203144, 0.027360661, 0.072745554, 0.0025379562, 0.8601791, 0.19430085]",0.8601791
anger,When a car is overtaking another and I am forced to drive off the road. ,sadness,"[0.4189011, 0.37002936, 0.42056656, 0.52307314, 0.0061165662, 0.59976304, 0.41853985]",0.59976304
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.008499067, 0.01572633, 0.012744168, 0.13816597, 0.0029868279, 0.16434407, 0.084623754]",0.16434407
disgust,When I found a bristle in the liver paste tube. ,sadness,"[0.14026196, 0.22390684, 0.07006418, 0.2448912, 0.06933409, 0.34294587, 0.19338928]",0.34294587
