labels,text,feels_emo,prob_feels_emo,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.009412176, 0.0016171795, 0.77813584, 0.060623728, 0.97845477, 0.009065098, 0.01083934]",0.97845477
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.46440223, 0.42756647, 0.997401, 0.75396454, 0.001181049, 0.9857142, 0.14848174]",0.997401
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,fear,"[0.9652533, 0.71788263, 0.9772923, 0.9440179, 0.0034106195, 0.88991326, 0.79599994]",0.9772923
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.7988852, 0.7863781, 0.9226038, 0.97972006, 0.002280313, 0.9770855, 0.9433339]",0.97972006
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.9368685, 0.9477441, 0.8772829, 0.79476225, 0.01272484, 0.91956013, 0.8576219]",0.9477441
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.9762709, 0.92486274, 0.9633762, 0.9806702, 0.00095120294, 0.8820645, 0.7291188]",0.9806702
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.073786125, 0.27437016, 0.8036696, 0.9976673, 0.0015082002, 0.460097, 0.98814523]",0.9976673
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,"[0.6982917, 0.10040677, 0.9515608, 0.814395, 0.72300607, 0.80041516, 0.5523609]",0.9515608
fear,"When, for the first time I realized the meaning of death. ",fear,"[0.43831724, 0.6361739, 0.9891071, 0.71760064, 0.0021835254, 0.98466647, 0.33497307]",0.9891071
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.84884715, 0.36001626, 0.5791407, 0.598873, 0.024138901, 0.669425, 0.24823853]",0.84884715
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.22370008, 0.11833735, 0.6201675, 0.43676284, 0.006311239, 0.7447461, 0.22193432]",0.7447461
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.8980511, 0.9512702, 0.90991753, 0.9216706, 0.04440994, 0.56198585, 0.7765132]",0.9512702
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",fear,"[0.95140624, 0.2689491, 0.9622296, 0.6222074, 0.001345957, 0.33189872, 0.36193466]",0.9622296
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.46777114, 0.28591117, 0.9279564, 0.9623018, 0.01978012, 0.5218805, 0.542493]",0.9623018
joy,When I pass an examination which I did not think I did well. ,joy,"[0.3483829, 0.14042754, 0.9321722, 0.52899015, 0.9473599, 0.19868857, 0.16823675]",0.9473599
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.33206144, 0.02316587, 0.9953395, 0.53198075, 0.00067904516, 0.6497111, 0.08982146]",0.9953395
anger,When one is unjustly accused of something one has not done. ,anger,"[0.8976857, 0.5379379, 0.89404845, 0.729918, 0.00088061247, 0.79012877, 0.76743263]",0.8976857
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.61709386, 0.6553433, 0.88699836, 0.23045012, 0.00079314655, 0.90949094, 0.2606749]",0.90949094
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.8340072, 0.84981215, 0.6557518, 0.43804199, 0.0010279312, 0.8202147, 0.6606995]",0.84981215
