labels,text,emotion,prob_emotion
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.025123646156862377, 0.004295276571065187, 0.008252224256284534, 0.3079654578119516, 0.8927443146705627, 0.020605023368261755, 0.2851380962878466]"
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.3519380331039429, 0.502207225561142, 0.9105813384056092, 0.6564036905765533, 0.06098345280624926, 0.8998260647058487, 0.2967922013252974]"
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.8282560110092163, 0.726218843460083, 0.700177800655365, 0.7224415719509125, 0.09894065652042627, 0.8129271864891052, 0.7365517020225525]"
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.6749840676784515, 0.699703061580658, 0.6537964224815369, 0.9108839154243469, 0.02712006801739335, 0.8551253825426102, 0.8388810873031616]"
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,shame,"[0.8131155848503113, 0.8182657122611999, 0.7256942749023437, 0.7627435922622681, 0.1293073868378997, 0.6484574899077415, 0.8535593748092651]"
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,guilt,"[0.5548094391822815, 0.45903722792863844, 0.0635610606521368, 0.5797219216823578, 0.02444892725907266, 0.28266396280378103, 0.38632686734199523]"
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.02087609071750194, 0.28061030395329, 0.021186928963288665, 0.8622614860534668, 0.005015170818660408, 0.24347134493291378, 0.7399068951606751]"
joy,After my girlfriend had taken her exam we went to her parent's place. ,joy,"[0.39992098808288573, 0.17868883311748504, 0.4831762731075287, 0.6262501060962677, 0.6597073316574097, 0.49888602644205093, 0.37473334074020387]"
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.19097213484346867, 0.5557656168937684, 0.7847153544425964, 0.49609001278877257, 0.09191266521811485, 0.893992155790329, 0.2886804807931185]"
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.7702611804008483, 0.618117094039917, 0.8357581257820129, 0.7704138040542603, 0.0975863665342331, 0.6956454217433929, 0.6168772101402282]"
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.1939979873597622, 0.14300799295306205, 0.07358278147876263, 0.40940654575824736, 0.021377026848495007, 0.22358408384025097, 0.2554220736026764]"
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.8608173847198486, 0.8488828182220459, 0.8348233699798584, 0.7423090517520905, 0.2688249945640564, 0.7991417795419693, 0.792142677307129]"
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.930274224281311, 0.7230604887008667, 0.2531066596508026, 0.7142216801643372, 0.05228408842813224, 0.23384987958706915, 0.5448437988758087]"
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.4849604517221451, 0.40277873277664183, 0.2588035836815834, 0.8145981669425965, 0.026206951402127743, 0.44543962739408016, 0.5834141612052918]"
joy,When I pass an examination which I did not think I did well. ,joy,"[0.3481422185897827, 0.24849341064691544, 0.25941365361213686, 0.45602543354034425, 0.8085028648376464, 0.28583497926592827, 0.3696919411420822]"
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.3504533380270004, 0.20932920314371586, 0.9253574848175049, 0.7621954619884491, 0.012896140571683645, 0.6641873940825462, 0.12314681261777878]"
anger,When one is unjustly accused of something one has not done. ,shame,"[0.8379364013671875, 0.7544910073280334, 0.7726893901824952, 0.5989595234394074, 0.13739223759621383, 0.798164427280426, 0.8534555554389953]"
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.5263582825660705, 0.6401656985282898, 0.41262907534837723, 0.31694610714912413, 0.0073741778498515485, 0.7469453513622284, 0.4411261975765228]"
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",shame,"[0.7196987330913543, 0.7620574355125427, 0.5690459251403809, 0.8270325422286987, 0.016723397839814424, 0.6922687068581581, 0.8322829127311706]"
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7144119381904602, 0.778393828868866, 0.39347396194934847, 0.9233538269996643, 0.008674168586730957, 0.5707973539829254, 0.8426655411720276]"
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.7803722739219665, 0.8267879605293273, 0.5557929873466492, 0.9143532156944275, 0.0661164238350466, 0.8385784924030304, 0.8509122252464294]"
joy,Passing an exam I did not expect to pass. ,joy,"[0.5770505726337433, 0.2043904460966587, 0.5685473442077636, 0.42516958266496657, 0.9201254367828369, 0.20321713760495186, 0.18455035537481307]"
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,"[0.6419143140316009, 0.5365114212036133, 0.7449044108390808, 0.691335016489029, 0.19906364977359772, 0.7057667374610901, 0.7340294361114502]"
guilt,When excuses are necessary and I get out of doing it myself. ,guilt,"[0.31995267756283285, 0.2673508882522583, 0.34384985864162443, 0.5151198416948318, 0.11293621733784676, 0.33546966686844826, 0.4465136855840683]"
joy,When I had my children. ,joy,"[0.29580218344926834, 0.06287625934928656, 0.30315559208393095, 0.5530923902988434, 0.8284566283226014, 0.3545706272125244, 0.25009164214134216]"
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.671887195110321, 0.56860231757164, 0.7236156702041626, 0.8227780342102051, 0.6028404176235199, 0.44023773074150085, 0.6868574142456054]"
anger,When my partner was attacked and lost three teeth. ,sadness,"[0.8561723470687866, 0.8099766373634338, 0.9030935883522033, 0.7931651115417481, 0.06387155724223703, 0.9379486292600632, 0.7315371870994568]"
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.5346174210309982, 0.6173741400241852, 0.7545567989349365, 0.6989872872829437, 0.04768339591100812, 0.9374402463436127, 0.5388976216316224]"
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.8106049418449401, 0.8531255841255188, 0.9038543343544007, 0.8356080651283264, 0.3581910103559494, 0.8446041792631149, 0.8300172448158264]"
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.02317013880237937, 0.33547318577766416, 0.43764840066432953, 0.9194556832313537, 0.007962102117016912, 0.7484215199947357, 0.6355327427387237]"
