labels,text,emo_name,prob_emo_name,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.00360846, 0.0007731635, 0.0014350498, 0.809599, 0.0016112531, 0.11129715]",0.809599
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",fear,"[0.6486711, 0.4840446, 0.6993158, 0.0078398725, 0.5441522, 0.16710094]",0.6993158
joy,the moment when you get another follower and you cheer. ,joy,"[0.0008896526, 0.00015859175, 0.00017833915, 0.96908265, 0.00015740652, 0.5710326]",0.96908265
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.0058137164, 0.00059194077, 0.0009450589, 0.743411, 0.0003127118, 0.12318749]",0.743411
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,disgust,"[0.442632, 0.9369207, 0.82814366, 0.008196441, 0.37825176, 0.49093017]",0.9369207
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.24111941, 0.7884431, 0.59369975, 0.002692029, 0.891551, 0.09085454]",0.891551
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",disgust,"[0.516567, 0.9412016, 0.62430567, 0.0011793067, 0.8846488, 0.069508225]",0.9412016
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,joy,"[0.00407036, 0.00024006149, 0.01104372, 0.9182838, 0.0007034906, 0.4470621]",0.9182838
fear,Making art and viewing art are different at their core! ,surprise,"[0.18615301, 0.118708715, 0.049029958, 0.1625694, 0.08776973, 0.6195079]",0.6195079
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.34027037, 0.77774614, 0.32206857, 0.016663758, 0.6888667, 0.32391137]",0.77774614
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",sadness,"[0.071283564, 0.39655778, 0.18344781, 0.0004322409, 0.46941486, 0.004444618]",0.46941486
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",joy,"[0.08269531, 0.27016523, 0.46311665, 0.87615085, 0.27952945, 0.85439765]",0.87615085
surprise,People know they can pull you down and they dont give a care ,sadness,"[0.5693567, 0.7663992, 0.4995168, 0.007591418, 0.8492731, 0.027773272]",0.8492731
sadness,My heart and soul  is leaving me and I can't even see here ,sadness,"[0.7684119, 0.90521866, 0.95704776, 0.01780946, 0.99047345, 0.5593683]",0.99047345
joy,chips and curry sauce ,joy,"[0.005824259, 0.0918567, 0.006092204, 0.7359644, 0.0039805775, 0.28741938]",0.7359644
