labels,text,emotion,prob_emotion
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.0071206665597856045, 0.007116322871297598, 0.016602860763669014, 0.5551893711090088, 0.9682841300964355, 0.005381695460528135, 0.038757532835006714]"
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.569461464881897, 0.8673308491706848, 0.9588307738304138, 0.6799619197845459, 0.0038815950974822044, 0.8840453028678894, 0.02469741366803646]"
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,disgust,"[0.8880465030670166, 0.9493451118469238, 0.7454735636711121, 0.7311642169952393, 0.006912692682817578, 0.924972414970398, 0.6933603286743164]"
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.801012396812439, 0.8743622899055481, 0.7720115184783936, 0.9661778211593628, 0.01361330971121788, 0.8681309819221497, 0.7932941913604736]"
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.9517710208892822, 0.9709210991859436, 0.8404729962348938, 0.820197343826294, 0.017876054160296917, 0.9524243474006653, 0.8576167821884155]"
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.8463178873062134, 0.95367431640625, 0.10581913590431213, 0.8670831322669983, 0.003382823895663023, 0.988021194934845, 0.18672841787338257]"
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.010664091445505619, 0.9469159245491028, 0.01972329616546631, 0.9711832404136658, 0.0009496247221250087, 0.27928757667541504, 0.8451111316680908]"
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.6632918119430542, 0.34601595997810364, 0.5736954212188721, 0.7867016792297363, 0.6209030449390411, 0.35888946056365967, 0.39280664920806885]"
fear,"When, for the first time I realized the meaning of death. ",fear,"[0.05180182680487633, 0.777565062046051, 0.9007958173751831, 0.42262712121009827, 0.001090527221094817, 0.8055648803710938, 0.02736894227564335]"
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.9332391619682312, 0.9141326546669006, 0.9267609119415283, 0.9150088429450989, 0.05481758341193199, 0.9070478677749634, 0.6848686933517456]"
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.43710267543792725, 0.30391252040863037, 0.08042550086975098, 0.44353187084198, 0.009284451138228178, 0.41961124539375305, 0.22596047818660736]"
disgust,When I found a bristle in the liver paste tube. ,anger,"[0.9795127511024475, 0.97060227394104, 0.937282383441925, 0.9188500046730042, 0.1779770404100418, 0.8602610230445862, 0.9151360392570496]"
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.9751027226448059, 0.9182472229003906, 0.3908829987049103, 0.9320579171180725, 0.0048037763917818666, 0.8847152590751648, 0.5056918859481812]"
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.8213671445846558, 0.8259382247924805, 0.20568345487117767, 0.9462390542030334, 0.006329857278615236, 0.8315446376800537, 0.49839192628860474]"
joy,When I pass an examination which I did not think I did well. ,joy,"[0.6562705636024475, 0.6808539628982544, 0.40142950415611267, 0.7550330758094788, 0.8003191351890564, 0.4916457533836365, 0.44682401418685913]"
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,"[0.8453631401062012, 0.7517341375350952, 0.9795235395431519, 0.8461310267448425, 0.0021056560799479485, 0.9530044198036194, 0.020786331966519356]"
anger,When one is unjustly accused of something one has not done. ,sadness,"[0.922152042388916, 0.9550428986549377, 0.8286464214324951, 0.23996701836585999, 0.0035047418787144125, 0.9560016989707947, 0.7897909283638]"
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,"[0.9156331419944763, 0.891067624092102, 0.3937251567840576, 0.1865699291229248, 0.0020930409082211554, 0.9625967144966125, 0.4654107391834259]"
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",disgust,"[0.8669201731681824, 0.9727503657341003, 0.7799447178840637, 0.8751062750816345, 0.0064731023740023375, 0.9280979633331299, 0.791081428527832]"
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.8951088786125183, 0.9285140037536621, 0.37938815355300903, 0.9829422235488892, 0.0035586145240813494, 0.9238399267196655, 0.7669487595558167]"
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.9032747745513916, 0.9569950699806213, 0.4807632267475128, 0.9641010165214539, 0.001935603329911828, 0.9637975692749023, 0.7904047966003418]"
joy,Passing an exam I did not expect to pass. ,joy,"[0.773278534412384, 0.5225642919540405, 0.592759370803833, 0.3833596706390381, 0.9290971159934998, 0.2722780108451843, 0.3513856530189514]"
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.8719888925552368, 0.8339312076568604, 0.8829152584075928, 0.9002272486686707, 0.15456736832857132, 0.8508816361427307, 0.7646757960319519]"
guilt,When excuses are necessary and I get out of doing it myself. ,anger,"[0.709453284740448, 0.4372112452983856, 0.42231613397598267, 0.31419602036476135, 0.12031613290309906, 0.5045591592788696, 0.6262156367301941]"
joy,When I had my children. ,joy,"[0.6051002144813538, 0.08584288507699966, 0.3601594567298889, 0.780004620552063, 0.9190008342266083, 0.1786552518606186, 0.2414848953485489]"
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.7806693911552429, 0.8344290852546692, 0.8548307418823242, 0.8958054780960083, 0.5328979939222336, 0.3832050561904907, 0.7562814950942993]"
anger,When my partner was attacked and lost three teeth. ,fear,"[0.8894875049591064, 0.9359179139137268, 0.9611026644706726, 0.9069873690605164, 0.00478585809469223, 0.954883337020874, 0.6898583173751831]"
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.4646078050136566, 0.8220511674880981, 0.7641334533691406, 0.6959198117256165, 0.04177916422486305, 0.9440929889678955, 0.35596588253974915]"
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.9469138979911804, 0.9599166512489319, 0.9677562713623047, 0.9626906514167786, 0.38371218740940094, 0.8450120687484741, 0.9046099185943604]"
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.038989003747701645, 0.918150007724762, 0.4618355333805084, 0.9839336276054382, 0.000997284019831568, 0.8945549130439758, 0.5547588467597961]"
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.010294065810739994, 0.8917739391326904, 0.038979873061180115, 0.9907529354095459, 0.001020841154968366, 0.37018996477127075, 0.36875849962234497]"
joy,When my child was born. ,joy,"[0.382887065410614, 0.06814968585968018, 0.5263236165046692, 0.6694502830505371, 0.9415473937988281, 0.25919464230537415, 0.18774229288101196]"
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.9105373024940491, 0.960350513458252, 0.9845858216285706, 0.9461588263511658, 0.004138475633226335, 0.9377259016036987, 0.8879265785217285]"
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",disgust,"[0.9614194631576538, 0.9701387286186218, 0.7569448351860046, 0.9471518993377686, 0.010592500562779605, 0.9610491394996643, 0.8601974844932556]"
sadness,Failing an examination. ,disgust,"[0.9488222002983093, 0.9739805459976196, 0.9366475343704224, 0.9739124774932861, 0.005200558225624263, 0.9660266041755676, 0.9557671546936035]"
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",sadness,"[0.7131029367446899, 0.9856840372085571, 0.008826710283756256, 0.7865054607391357, 0.0007213478966150433, 0.9927132725715637, 0.3527112603187561]"
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.8005027770996094, 0.9232213497161865, 0.7935366034507751, 0.9763137698173523, 0.007512609765399247, 0.8971953392028809, 0.8973181247711182]"
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",guilt,"[0.23822233080863953, 0.4841211438179016, 0.36353644728660583, 0.5706163644790649, 0.013405242934823036, 0.5120149254798889, 0.5372908711433411]"
joy,When I saw a person I had not seen for a long time. ,joy,"[0.16370132565498352, 0.11500959098339081, 0.16306336224079132, 0.5792787671089172, 0.8868740200996399, 0.08951713144779205, 0.11860713362693787]"
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8975962400436401, 0.9390053153038025, 0.9705407619476318, 0.8130708336830139, 0.0252065509557724, 0.9392146468162537, 0.819850504398346]"
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.9446585178375244, 0.981830894947052, 0.9691784977912903, 0.8966379761695862, 0.004694580566138029, 0.9763832092285156, 0.7662294507026672]"
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.005032526329159737, 0.007176270708441734, 0.008626878261566162, 0.6653589606285095, 0.001501123420894146, 0.7284349799156189, 0.002592354780063033]"
disgust,When one learns through the mass media all the wars and killing going on in the world. ,disgust,"[0.7669585943222046, 0.9152538180351257, 0.9051533341407776, 0.6910132765769958, 0.0009708037541713566, 0.9013394713401794, 0.4752763509750366]"
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.7813358306884766, 0.7772625684738159, 0.6044899225234985, 0.9619941115379333, 0.02835875330492854, 0.7914913296699524, 0.8009288907051086]"
guilt,When one lets friends down ,sadness,"[0.9389601349830627, 0.9747299551963806, 0.7441925406455994, 0.9731351733207703, 0.0013444706564769149, 0.9754143357276917, 0.9170784950256348]"
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.2080869972705841, 0.04102616384625435, 0.08304037153720856, 0.4158220589160919, 0.9279069304466248, 0.08881710469722748, 0.06899681687355042]"
