labels,text,feels_emo,prob_feels_emo,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.007814233, 0.0096044345, 0.30084753, 0.062146876, 0.886259, 0.021418205, 0.02187187]",0.886259
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",guilt,"[0.9355625, 0.9781319, 0.9829159, 0.98663586, 0.0036847463, 0.986284, 0.8272142]",0.98663586
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,anger,"[0.98379356, 0.9482292, 0.872177, 0.97534853, 0.0012738833, 0.9416003, 0.97591144]",0.98379356
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.83580226, 0.8112584, 0.7861092, 0.99390465, 0.004977639, 0.9817343, 0.9836902]",0.99390465
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,anger,"[0.9543999, 0.95200336, 0.8481537, 0.8484803, 0.0025840383, 0.6482246, 0.86836696]",0.9543999
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.9435305, 0.90370214, 0.8244539, 0.9586468, 0.00049275503, 0.9647218, 0.92834634]",0.9647218
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,shame,"[0.12748505, 0.9262397, 0.9336454, 0.9977679, 0.00025711625, 0.9850117, 0.99818605]",0.99818605
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,"[0.55084354, 0.2631185, 0.8888712, 0.86831385, 0.11197363, 0.6678747, 0.6608883]",0.8888712
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.6825476, 0.90516865, 0.9181598, 0.95750624, 0.0021927112, 0.9697281, 0.9341716]",0.9697281
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.96375287, 0.8418408, 0.99255764, 0.9512449, 0.0071741645, 0.86586934, 0.9112441]",0.99255764
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",guilt,"[0.4320597, 0.2804757, 0.7061713, 0.8989083, 0.00940209, 0.7847493, 0.87192065]",0.8989083
disgust,When I found a bristle in the liver paste tube. ,guilt,"[0.86717653, 0.9031981, 0.9194598, 0.95598036, 0.12412314, 0.83164304, 0.9034973]",0.95598036
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,"[0.99552816, 0.8117968, 0.9313653, 0.93309855, 0.0014861603, 0.68773025, 0.9405201]",0.99552816
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,"[0.9269416, 0.7198693, 0.7021331, 0.9948088, 0.0060895514, 0.8875549, 0.987976]",0.9948088
joy,When I pass an examination which I did not think I did well. ,guilt,"[0.87349653, 0.532069, 0.6752112, 0.93265074, 0.004945922, 0.835351, 0.84801066]",0.93265074
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",guilt,"[0.8735518, 0.7685359, 0.6895944, 0.9929638, 0.00067554467, 0.9795268, 0.97392887]",0.9929638
anger,When one is unjustly accused of something one has not done. ,anger,"[0.9000737, 0.75930697, 0.6671379, 0.77711034, 0.0047608083, 0.765418, 0.8294766]",0.9000737
sadness,When one's studies seem hopelessly difficult and uninteresting. ,disgust,"[0.7121016, 0.90784514, 0.84769976, 0.50680727, 0.0019243035, 0.836157, 0.67486876]",0.90784514
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",anger,"[0.82384086, 0.744351, 0.7413309, 0.43940595, 0.0065711406, 0.567406, 0.5423049]",0.82384086
shame,"When one has been unjust, stupid towards someone else. ",guilt,"[0.7442445, 0.6703361, 0.28157, 0.8351963, 0.0028227577, 0.25554207, 0.7292777]",0.8351963
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.84050435, 0.64238894, 0.44021913, 0.90625703, 0.0038149613, 0.66185397, 0.8118792]",0.90625703
joy,Passing an exam I did not expect to pass. ,fear,"[0.41588482, 0.045521647, 0.72965914, 0.5051743, 0.053127516, 0.1364462, 0.39804068]",0.72965914
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.7223748, 0.6015676, 0.7000596, 0.8618201, 0.09065487, 0.52575654, 0.83267844]",0.8618201
guilt,When excuses are necessary and I get out of doing it myself. ,fear,"[0.94494784, 0.7054119, 0.9784638, 0.9477971, 0.00492768, 0.6607281, 0.9551935]",0.9784638
joy,When I had my children. ,guilt,"[0.34997928, 0.21058181, 0.7997974, 0.9468553, 0.63396055, 0.6612473, 0.8447385]",0.9468553
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.8931205, 0.92931175, 0.85033494, 0.9693803, 0.02635199, 0.928333, 0.93722886]",0.9693803
anger,When my partner was attacked and lost three teeth. ,fear,"[0.97122383, 0.94077116, 0.9837002, 0.9708547, 0.0044445377, 0.9782085, 0.9528073]",0.9837002
sadness,When I see children on T. V from areas devastated by drought and war. ,sadness,"[0.96739465, 0.9426452, 0.9382856, 0.9604695, 0.006095615, 0.98534364, 0.95784533]",0.98534364
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.92283124, 0.9691683, 0.98688114, 0.96842617, 0.014275262, 0.91387284, 0.9630241]",0.98688114
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,shame,"[0.92913306, 0.99272704, 0.98785734, 0.997957, 0.0004999704, 0.99720985, 0.9979961]",0.9979961
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",shame,"[0.012320656, 0.9192299, 0.90426767, 0.9987097, 0.00019291128, 0.9964977, 0.9987746]",0.9987746
joy,When my child was born. ,guilt,"[0.36970463, 0.30468452, 0.6230886, 0.93611, 0.77173066, 0.5850333, 0.84514326]",0.93611
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",shame,"[0.838892, 0.8810542, 0.8229013, 0.8860334, 0.08667409, 0.7319296, 0.923032]",0.923032
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",anger,"[0.96069485, 0.56159663, 0.4723421, 0.89322937, 0.0013414058, 0.2570442, 0.7632062]",0.96069485
sadness,Failing an examination. ,disgust,"[0.92383534, 0.9474326, 0.89639664, 0.93438315, 0.0039249035, 0.83343804, 0.90637434]",0.9474326
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",shame,"[0.31327784, 0.98574346, 0.54166496, 0.98437345, 0.00032115536, 0.9908324, 0.9931224]",0.9931224
shame,"When, as an adult I have been caught lying or behaving badly. ",guilt,"[0.86295956, 0.84449595, 0.8395786, 0.9388567, 0.005261042, 0.83725417, 0.8993631]",0.9388567
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",fear,"[0.06810891, 0.018658152, 0.34132126, 0.106968544, 0.02391593, 0.029897755, 0.06167225]",0.34132126
joy,When I saw a person I had not seen for a long time. ,fear,"[0.15806544, 0.06063094, 0.5094615, 0.28438038, 0.04198549, 0.31988162, 0.2898513]",0.5094615
fear,"When, as a child, I was nearly knocked down by a car. ",guilt,"[0.9521606, 0.90221524, 0.97333175, 0.9751786, 0.010823164, 0.9686849, 0.966403]",0.9751786
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",disgust,"[0.98813885, 0.9911793, 0.8320957, 0.9115636, 0.003742502, 0.9843264, 0.94075733]",0.9911793
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.06830107, 0.25507337, 0.9136795, 0.9774579, 0.00078023033, 0.996221, 0.9116356]",0.996221
disgust,When one learns through the mass media all the wars and killing going on in the world. ,sadness,"[0.7361668, 0.7047108, 0.73783773, 0.68275046, 0.0031727308, 0.7709371, 0.71794075]",0.7709371
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.90484947, 0.62462485, 0.94826466, 0.96220315, 0.008887683, 0.8378457, 0.8885827]",0.96220315
guilt,When one lets friends down ,guilt,"[0.8198649, 0.7494639, 0.8237056, 0.9441475, 0.0031617137, 0.7752139, 0.9276993]",0.9441475
joy,When I was accepted for a course on finance and accounting. ,fear,"[0.093125924, 0.017177869, 0.61451244, 0.44363064, 0.49519822, 0.19815834, 0.06407992]",0.61451244
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.8444689, 0.7478674, 0.9982498, 0.8977999, 0.004089324, 0.7255001, 0.90351576]",0.9982498
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",shame,"[0.9469101, 0.8552275, 0.90597486, 0.952374, 0.081799336, 0.94575673, 0.9610448]",0.9610448
sadness,When I was not accepted as a student in finance and accounting. ,anger,"[0.96405345, 0.89304906, 0.90959334, 0.95075333, 0.0040780893, 0.94323766, 0.9563507]",0.96405345
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9097246, 0.99806947, 0.88886523, 0.99501723, 0.0005906395, 0.9666327, 0.99537474]",0.99806947
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.898998, 0.9931885, 0.9747346, 0.9989975, 0.0018517282, 0.99822754, 0.9990163]",0.9990163
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.85383755, 0.66300726, 0.9093221, 0.92821103, 0.041655622, 0.80908316, 0.78181076]",0.92821103
joy,Passed an exam by points. ,fear,"[0.098397106, 0.02849073, 0.52632916, 0.17745484, 0.07797439, 0.19039394, 0.039867617]",0.52632916
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.81669855, 0.67234725, 0.9478277, 0.8499446, 0.08826014, 0.8327208, 0.8951856]",0.9478277
sadness,Railway station good-bye. ,sadness,"[0.43217865, 0.3491074, 0.80940634, 0.7834332, 0.5171288, 0.9364286, 0.62703675]",0.9364286
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,disgust,"[0.9396812, 0.9461933, 0.935195, 0.8705542, 0.036771238, 0.92374444, 0.8175621]",0.9461933
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,fear,"[0.53047353, 0.7396334, 0.9912527, 0.9636169, 0.004418838, 0.7489832, 0.95116675]",0.9912527
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.96963465, 0.8971983, 0.9487388, 0.97962403, 0.0060382336, 0.93168896, 0.9408104]",0.97962403
joy,I passed an exam that I was absolutely certain that I had failed. ,guilt,"[0.8013535, 0.1892578, 0.7472839, 0.9237799, 0.012267703, 0.29571688, 0.6544431]",0.9237799
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.78304964, 0.77847576, 0.9980704, 0.9548828, 0.012963209, 0.9507414, 0.9578114]",0.9980704
anger,I locked myself out. ,fear,"[0.9850573, 0.9321875, 0.9939919, 0.98840326, 0.0035298732, 0.9469682, 0.9859439]",0.9939919
sadness,I missed the last tram home and had to walk in the pouring rain. ,sadness,"[0.9691602, 0.9253244, 0.9566748, 0.96328163, 0.0055066464, 0.97971845, 0.9416756]",0.97971845
disgust,I found some worms in the food and I had obviously eaten some. ,fear,"[0.9155046, 0.9376145, 0.97590303, 0.94578373, 0.03127173, 0.8776943, 0.8684391]",0.97590303
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",anger,"[0.97883165, 0.95995784, 0.97080606, 0.9286683, 0.030726982, 0.9680589, 0.9473818]",0.97883165
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.9569346, 0.8668102, 0.96127295, 0.97541434, 0.0025524588, 0.90121865, 0.9574189]",0.97541434
joy,When I won a trip to Greece in a competition. ,joy,"[0.036600705, 0.009650104, 0.6819942, 0.057304278, 0.8424485, 0.02562683, 0.0128633715]",0.8424485
fear,When I am out in the dark and a suspicious looking character comes towards me. ,shame,"[0.7708383, 0.49385017, 0.899902, 0.8809008, 0.002919584, 0.6249938, 0.9243737]",0.9243737
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",disgust,"[0.9869402, 0.99479866, 0.7051633, 0.30179667, 0.0016213931, 0.50497186, 0.44300872]",0.99479866
sadness,When I had not understood anything after a lecture. ,anger,"[0.97651917, 0.9530159, 0.8294066, 0.95487225, 0.006038125, 0.89949775, 0.96254504]",0.97651917
disgust,When an alcoholic stood dribbling over a food counter. ,anger,"[0.9408679, 0.85810894, 0.9335993, 0.8244319, 0.013332127, 0.7003409, 0.8051876]",0.9408679
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.38205865, 0.13773084, 0.40358365, 0.47402495, 0.2585591, 0.21790083, 0.24514145]",0.47402495
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,fear,"[0.39352137, 0.006911335, 0.846707, 0.7704632, 0.053048655, 0.30691862, 0.31624535]",0.846707
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.007962085, 0.012685532, 0.731181, 0.12594043, 0.98249304, 0.0047989935, 0.14613782]",0.98249304
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,fear,"[0.86911225, 0.83988607, 0.9402229, 0.85974336, 0.019937532, 0.8223858, 0.88468826]",0.9402229
anger,Mad at my dad. ,anger,"[0.9983525, 0.99031687, 0.89099234, 0.97906417, 0.00025322058, 0.1996235, 0.9645585]",0.9983525
sadness,A case of unrequited love. ,sadness,"[0.07312783, 0.068707146, 0.12580544, 0.8477364, 0.0037108439, 0.8902696, 0.35864452]",0.8902696
disgust,A bad smelling cucumber. ,disgust,"[0.78731513, 0.9917772, 0.81486994, 0.65841496, 0.0054156156, 0.62184906, 0.75063443]",0.9917772
shame,Nearly caught masturbating. ,guilt,"[0.95970285, 0.8439701, 0.9028508, 0.9614166, 0.0071524866, 0.11106645, 0.90746504]",0.9614166
guilt,I do not help out enough at home. ,guilt,"[0.9919302, 0.93488497, 0.90547997, 0.99744886, 0.004456839, 0.98976374, 0.99227434]",0.99744886
joy,I felt very happy when I won the football pools. ,joy,"[0.00076234224, 0.00042022893, 0.057041276, 0.0013215792, 0.9952828, 0.00035658496, 0.00077778497]",0.9952828
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.77459925, 0.8461222, 0.99680954, 0.94952166, 0.0060580475, 0.90965587, 0.9624281]",0.99680954
anger,When someone stole my bike. ,anger,"[0.9907141, 0.96031916, 0.9302609, 0.9722653, 0.0047465237, 0.97552, 0.9692589]",0.9907141
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",guilt,"[0.9875618, 0.9959812, 0.9945015, 0.9961004, 0.00238305, 0.994636, 0.99530905]",0.9961004
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,disgust,"[0.9522411, 0.972937, 0.9646797, 0.9476111, 0.0065362323, 0.939299, 0.94540834]",0.972937
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,shame,"[0.5710741, 0.8471405, 0.8835412, 0.9273925, 0.026506027, 0.08138333, 0.9467722]",0.9467722
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",anger,"[0.96780235, 0.897373, 0.95728326, 0.96405214, 0.016320627, 0.943287, 0.965134]",0.96780235
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.005394667, 0.003491997, 0.4890213, 0.02422981, 0.97233534, 0.004905329, 0.028906435]",0.97233534
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",guilt,"[0.8748425, 0.58687365, 0.880661, 0.9550243, 0.0044241273, 0.94237375, 0.801173]",0.9550243
anger,When friends try to put me down or hurt me. ,anger,"[0.9860933, 0.9574063, 0.95389813, 0.91682744, 0.0006731168, 0.8495884, 0.96755666]",0.9860933
sadness,Marriage crises. Boredom. ,sadness,"[0.32922715, 0.9915604, 0.9456271, 0.8007355, 0.0007173506, 0.9950629, 0.8767695]",0.9950629
disgust,When someone makes advances that one does not want. ,anger,"[0.7738624, 0.5794641, 0.15934251, 0.17051119, 0.004824709, 0.14171407, 0.30249825]",0.7738624
shame,The discovery that one has only thought of oneself. ,shame,"[0.6521792, 0.7493147, 0.79123086, 0.75091165, 0.0036323832, 0.70452166, 0.86423874]",0.86423874
guilt,When I spanked a child in anger and later regretted it terribly. ,shame,"[0.96678025, 0.9719814, 0.7608789, 0.99769694, 0.0005649886, 0.9869443, 0.9978466]",0.9978466
joy,When I passed the first examination that I had to repeat. ,fear,"[0.21245687, 0.0343518, 0.6895556, 0.29087955, 0.42450723, 0.23964196, 0.072650686]",0.6895556
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,fear,"[0.93278795, 0.8709318, 0.9576315, 0.9201178, 0.01568287, 0.8335907, 0.9472401]",0.9576315
anger,When my boyfriend went away for a month long holiday without me. ,guilt,"[0.95550555, 0.9082868, 0.9328566, 0.9708039, 0.0073892036, 0.9673014, 0.9448392]",0.9708039
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.8728595, 0.65819424, 0.9029193, 0.940341, 0.06969364, 0.86268425, 0.90840805]",0.940341
disgust,When a dog is left whining outside a shop. ,sadness,"[0.93545, 0.9261289, 0.8992693, 0.92355055, 0.008883329, 0.9519163, 0.925967]",0.9519163
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.8893393, 0.58990484, 0.8051617, 0.96094424, 0.0031879933, 0.83140963, 0.81595397]",0.96094424
guilt,When I realized that I had three more examinations to take. ,shame,"[0.93869245, 0.87681204, 0.91043204, 0.9745067, 0.005012976, 0.9413456, 0.975421]",0.975421
joy,The day I was told that I had been accepted as a student of economics. ,fear,"[0.37127766, 0.041465722, 0.8036158, 0.5496654, 0.5485574, 0.22235298, 0.08358102]",0.8036158
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.9486756, 0.9130432, 0.9986952, 0.90652347, 0.0026039071, 0.9171822, 0.95191056]",0.9986952
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9969195, 0.969401, 0.77469826, 0.6226201, 0.00035660533, 0.037570562, 0.5003021]",0.9969195
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.110547066, 0.19547838, 0.9976808, 0.9854236, 0.00036073962, 0.50950503, 0.97652584]",0.9976808
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.98942137, 0.9982784, 0.99408853, 0.7674688, 0.0045755645, 0.5257008, 0.87173826]",0.9982784
