labels,text,expr_emo,prob_expr_emo,prob_max
surprise,Thinks that  had a great th birthday party ) ,joy,"[0.014378692, 0.008141692, 0.018768165, 0.9909281, 0.011589941, 0.9793323]",0.9909281
sadness,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,"[0.8685949, 0.91712874, 0.8966589, 0.07224758, 0.9912478, 0.69224197]",0.9912478
joy,the moment when you get another follower and you cheer. ,joy,"[0.0028023268, 0.0013445395, 0.0058523794, 0.99225813, 0.0017831117, 0.9566531]",0.99225813
joy,Be the greatest dancer of your life! practice daily positive habits. fun freedom habits ,joy,"[0.0068522836, 0.005057586, 0.0110861, 0.9861801, 0.010450562, 0.55780333]",0.9861801
disgust,eww. . my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll. . . . . . . ,joy,"[0.052429352, 0.8014993, 0.30662823, 0.992353, 0.9603182, 0.9893469]",0.992353
joy,If ur heart hurts all the time for tht person something isn't right where's the ,sadness,"[0.84687716, 0.89299697, 0.9676284, 0.0051889946, 0.9866622, 0.74356806]",0.9866622
joy,"I feel awful, and it's way too freaking early. Now off to leadership highschool. . . ",sadness,"[0.99321353, 0.9947194, 0.9948495, 0.008336437, 0.9963373, 0.8589778]",0.9963373
joy,So chuffed for safc fans! Bet me dar comes in mortz from the match ,surprise,"[0.01137381, 0.006286976, 0.075756215, 0.9968252, 0.018985206, 0.9980507]",0.9980507
fear,Making art and viewing art are different at their core! ,surprise,"[0.6894747, 0.57196546, 0.47311798, 0.5838012, 0.752666, 0.99578]",0.99578
anger,"Soooo dooowwwn! ! Move on, get some sleep. . . Me deserve better. forgetit yawning ",disgust,"[0.9935608, 0.99523664, 0.98995334, 0.09157403, 0.9945253, 0.9908212]",0.99523664
sadness,"quotWe're sorry, but the clip you selected isn't available from your location. Please select another clip. quot NO I REFUSE. ",surprise,"[0.89539677, 0.8357018, 0.8359245, 0.11366498, 0.9593381, 0.97267467]",0.97267467
surprise,"Een ware Sint quotin-en uittochtquot achter de rug Winkel IN, winkel UIT, winkel IN, winkel UIT! ",surprise,"[0.9158039, 0.88257676, 0.89690673, 0.97406286, 0.8769477, 0.9848563]",0.9848563
surprise,People know they can pull you down and they dont give a care ,anger,"[0.95185095, 0.8630843, 0.14643027, 0.021079045, 0.30747443, 0.36665365]",0.95185095
sadness,My heart and soul  is leaving me and I can't even see here ,fear,"[0.99498194, 0.9891952, 0.9958383, 0.0025331082, 0.9951119, 0.28950414]",0.9958383
joy,chips and curry sauce ,joy,"[0.03001902, 0.08894494, 0.054416772, 0.84578294, 0.09416054, 0.7769319]",0.84578294
anger,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,"[0.99624854, 0.9258466, 0.8528508, 0.019288113, 0.6774217, 0.5105686]",0.99624854
joy,Oh and off to work till midnight -. - ,sadness,"[0.45802683, 0.5416025, 0.6013171, 0.12331969, 0.8798603, 0.6582532]",0.8798603
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,sadness,"[0.8436904, 0.65598714, 0.92950183, 0.014177297, 0.9357109, 0.9175834]",0.9357109
