labels,text,emo_name,prob_emo_name,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.6901523, 0.49119022, 0.74484545, 0.4562287, 0.9825333, 0.60930544, 0.62327296]",0.9825333
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.64351344, 0.48274094, 0.96242434, 0.7766965, 0.0036965795, 0.9577846, 0.2580521]",0.96242434
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,fear,"[0.7855856, 0.48517263, 0.83165306, 0.7315921, 0.006333323, 0.7380314, 0.44442993]",0.83165306
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.6243915, 0.5966106, 0.6376995, 0.8935083, 0.04073875, 0.8851884, 0.638251]",0.8935083
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,sadness,"[0.64616, 0.61458373, 0.72608656, 0.6807828, 0.0052016173, 0.7899538, 0.41942748]",0.7899538
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,"[0.8628549, 0.85841876, 0.52195334, 0.81966317, 0.022697456, 0.74419016, 0.5388198]",0.8628549
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.10214913, 0.19677384, 0.32301098, 0.8885186, 0.036970034, 0.46358174, 0.8793984]",0.8885186
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,"[0.26814538, 0.12775406, 0.45879138, 0.3059835, 0.30787054, 0.43575883, 0.05067902]",0.45879138
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.07435003, 0.32503223, 0.62433565, 0.32836252, 0.0022381116, 0.8634835, 0.050694373]",0.8634835
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.74094474, 0.32803, 0.92692745, 0.62329644, 0.037675504, 0.5082413, 0.28311974]",0.92692745
