labels,text,expr_emo,prob_expr_emo,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.009515535, 0.06767366, 0.058820255, 0.24165227, 0.8744116, 0.12728675, 0.14089186]",0.8744116
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.78438157, 0.8076081, 0.9847142, 0.95436114, 0.00050254987, 0.9841561, 0.8292929]",0.9847142
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,shame,"[0.94965774, 0.91319865, 0.89127326, 0.6920781, 0.0006861403, 0.95565015, 0.9611518]",0.9611518
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,sadness,"[0.631082, 0.7138575, 0.7348236, 0.9258919, 0.06118668, 0.96529216, 0.929095]",0.96529216
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.9286449, 0.97060794, 0.6992928, 0.76912194, 0.0005571011, 0.81401414, 0.9319609]",0.97060794
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.90934324, 0.8376287, 0.6187709, 0.61270225, 0.00014199154, 0.92649, 0.83204573]",0.92649
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.730985, 0.9068506, 0.85842806, 0.9957242, 0.003060014, 0.9683634, 0.98720723]",0.9957242
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.70046514, 0.67387426, 0.6735002, 0.71491814, 0.65810955, 0.69973207, 0.68534803]",0.71491814
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.7248655, 0.8351313, 0.95226747, 0.74161136, 0.00042539948, 0.9761787, 0.8742159]",0.9761787
anger,When a car is overtaking another and I am forced to drive off the road. ,anger,"[0.9378931, 0.8342743, 0.9254556, 0.88773936, 0.0070507936, 0.89263994, 0.92699075]",0.9378931
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,"[0.15476136, 0.10744558, 0.2427712, 0.38317874, 0.0010154528, 0.6166225, 0.26110578]",0.6166225
disgust,When I found a bristle in the liver paste tube. ,disgust,"[0.7631787, 0.928281, 0.77203834, 0.72760504, 0.83678204, 0.7988497, 0.86538255]",0.928281
