labels,text,emo_name,expr_emo,feels_emo,emotion,prob_emo_name,prob_expr_emo,prob_feels_emo,prob_emotion,ensemble
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,joy,joy,joy,"[0.6901523, 0.49119022, 0.74484545, 0.4562287, 0.9825333, 0.60930544, 0.62327296]","[0.021107826, 0.0046738386, 0.0045469105, 0.023192031, 0.9541133, 0.0038786924, 0.054216437]","[0.009412176, 0.0016171795, 0.77813584, 0.060623728, 0.97845477, 0.009065098, 0.01083934]","[0.0719685, 0.004238262, 0.010650431, 0.017198343, 0.882048, 0.019987553, 0.027866634]",joy
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,fear,fear,fear,"[0.64351344, 0.48274094, 0.96242434, 0.7766965, 0.0036965795, 0.9577846, 0.2580521]","[0.23796768, 0.2786844, 0.9917163, 0.6722993, 0.0009932077, 0.9769096, 0.17206854]","[0.46440223, 0.42756647, 0.997401, 0.75396454, 0.001181049, 0.9857142, 0.14848174]","[0.27775952, 0.42588034, 0.9347235, 0.660639, 0.0019642368, 0.9275552, 0.21633188]",fear
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,fear,guilt,fear,guilt,"[0.7855856, 0.48517263, 0.83165306, 0.7315921, 0.006333323, 0.7380314, 0.44442993]","[0.8849315, 0.6066327, 0.63236403, 0.89984876, 0.0011231627, 0.7050854, 0.6713254]","[0.9652533, 0.71788263, 0.9772923, 0.9440179, 0.0034106195, 0.88991326, 0.79599994]","[0.8299282, 0.64614505, 0.7468844, 0.9062602, 0.004369183, 0.85074556, 0.79566437]",guilt
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,guilt,guilt,sadness,"[0.6243915, 0.5966106, 0.6376995, 0.8935083, 0.04073875, 0.8851884, 0.638251]","[0.24776858, 0.35839996, 0.38478923, 0.9749141, 0.0021530678, 0.9474953, 0.9201679]","[0.7988852, 0.7863781, 0.9226038, 0.97972006, 0.002280313, 0.9770855, 0.9433339]","[0.6301103, 0.67838037, 0.6641449, 0.87340474, 0.0052225054, 0.90853447, 0.81572956]",guilt
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,sadness,disgust,disgust,sadness,"[0.64616, 0.61458373, 0.72608656, 0.6807828, 0.0052016173, 0.7899538, 0.41942748]","[0.78566414, 0.8812754, 0.7914127, 0.72595024, 0.0040019182, 0.6685211, 0.8264842]","[0.9368685, 0.9477441, 0.8772829, 0.79476225, 0.01272484, 0.91956013, 0.8576219]","[0.760439, 0.8060935, 0.6843204, 0.7115607, 0.012199763, 0.8546442, 0.72619253]",disgust
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,anger,guilt,guilt,anger,"[0.8628549, 0.85841876, 0.52195334, 0.81966317, 0.022697456, 0.74419016, 0.5388198]","[0.8126637, 0.7788066, 0.12257105, 0.9106013, 0.0012250013, 0.37118876, 0.6522502]","[0.9762709, 0.92486274, 0.9633762, 0.9806702, 0.00095120294, 0.8820645, 0.7291188]","[0.6373458, 0.4954088, 0.037257005, 0.6372163, 0.0027338904, 0.06368687, 0.26366466]",guilt
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,guilt,guilt,guilt,"[0.10214913, 0.19677384, 0.32301098, 0.8885186, 0.036970034, 0.46358174, 0.8793984]","[0.035358656, 0.047957864, 0.24677944, 0.9920521, 0.002681807, 0.2619549, 0.9808426]","[0.073786125, 0.27437016, 0.8036696, 0.9976673, 0.0015082002, 0.460097, 0.98814523]","[0.0029108217, 0.11615815, 0.019303225, 0.99808, 0.0009832203, 0.084559925, 0.92130303]",guilt
joy,After my girlfriend had taken her exam we went to her parent's place. ,fear,guilt,fear,sadness,"[0.26814538, 0.12775406, 0.45879138, 0.3059835, 0.30787054, 0.43575883, 0.05067902]","[0.31583947, 0.06457386, 0.3023981, 0.39489764, 0.2059348, 0.2786747, 0.1391379]","[0.6982917, 0.10040677, 0.9515608, 0.814395, 0.72300607, 0.80041516, 0.5523609]","[0.33321765, 0.08491334, 0.43889308, 0.49080038, 0.5005923, 0.5171362, 0.2869726]",fear
fear,"When, for the first time I realized the meaning of death. ",sadness,sadness,fear,sadness,"[0.07435003, 0.32503223, 0.62433565, 0.32836252, 0.0022381116, 0.8634835, 0.050694373]","[0.088184245, 0.5155541, 0.86790115, 0.35181502, 0.0007942069, 0.9752396, 0.086384445]","[0.43831724, 0.6361739, 0.9891071, 0.71760064, 0.0021835254, 0.98466647, 0.33497307]","[0.17408504, 0.4879514, 0.83882433, 0.4009509, 0.00085351116, 0.9495072, 0.18439792]",sadness
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,fear,anger,fear,"[0.74094474, 0.32803, 0.92692745, 0.62329644, 0.037675504, 0.5082413, 0.28311974]","[0.8169708, 0.6223771, 0.97439224, 0.7844554, 0.014238004, 0.6800548, 0.39851594]","[0.84884715, 0.36001626, 0.5791407, 0.598873, 0.024138901, 0.669425, 0.24823853]","[0.7610404, 0.60337925, 0.9302715, 0.6794759, 0.040620904, 0.66044575, 0.6012646]",fear
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand. ",sadness,sadness,sadness,sadness,"[0.039302867, 0.058387313, 0.09488238, 0.09350691, 0.011970191, 0.1458987, 0.026291788]","[0.06543682, 0.054666337, 0.09544399, 0.0768238, 0.0062488616, 0.36054385, 0.05947146]","[0.22370008, 0.11833735, 0.6201675, 0.43676284, 0.006311239, 0.7447461, 0.22193432]","[0.037084278, 0.05775563, 0.050160654, 0.20335421, 0.0071036997, 0.3057114, 0.14969696]",sadness
disgust,When I found a bristle in the liver paste tube. ,fear,disgust,disgust,disgust,"[0.5213335, 0.47246793, 0.6711195, 0.45570493, 0.01311742, 0.3551724, 0.15899687]","[0.83955896, 0.9393013, 0.90138, 0.81819826, 0.063202, 0.5707913, 0.59377426]","[0.8980511, 0.9512702, 0.90991753, 0.9216706, 0.04440994, 0.56198585, 0.7765132]","[0.81796384, 0.90337425, 0.88325894, 0.8846146, 0.18195264, 0.76633257, 0.81615275]",fear
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important. ",anger,anger,fear,anger,"[0.95536107, 0.660831, 0.47731662, 0.54519933, 0.0123332655, 0.6328213, 0.29291487]","[0.9858088, 0.80706376, 0.24339552, 0.8965517, 0.0009743418, 0.028429633, 0.7034309]","[0.95140624, 0.2689491, 0.9622296, 0.6222074, 0.001345957, 0.33189872, 0.36193466]","[0.9592896, 0.67549795, 0.39999565, 0.500664, 0.0016313307, 0.0073530003, 0.2632871]",anger
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time. ,guilt,guilt,guilt,guilt,"[0.4952961, 0.32416043, 0.7612579, 0.9021083, 0.0686515, 0.56023467, 0.34232813]","[0.17319913, 0.19086719, 0.28386363, 0.9763757, 0.006925088, 0.30893713, 0.7629624]","[0.46777114, 0.28591117, 0.9279564, 0.9623018, 0.01978012, 0.5218805, 0.542493]","[0.25736013, 0.29655954, 0.2226142, 0.8188253, 0.0072736256, 0.48021016, 0.53210473]",guilt
joy,When I pass an examination which I did not think I did well. ,joy,joy,joy,joy,"[0.321444, 0.1328746, 0.39082378, 0.54909086, 0.8574937, 0.14531597, 0.1090381]","[0.23540974, 0.28780305, 0.35941896, 0.6970095, 0.8385373, 0.13153724, 0.36797056]","[0.3483829, 0.14042754, 0.9321722, 0.52899015, 0.9473599, 0.19868857, 0.16823675]","[0.21067743, 0.12838894, 0.21118993, 0.378469, 0.7803621, 0.27067602, 0.22520715]",joy
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e. g a traffic accident. ",fear,fear,fear,fear,"[0.64056635, 0.17276017, 0.968598, 0.8344735, 0.0044130743, 0.78124464, 0.11623362]","[0.2446927, 0.069829136, 0.9858657, 0.68915313, 0.0011377481, 0.7102524, 0.14516939]","[0.33206144, 0.02316587, 0.9953395, 0.53198075, 0.00067904516, 0.6497111, 0.08982146]","[0.14627174, 0.017794387, 0.95941174, 0.7765215, 0.0013847584, 0.7087929, 0.08747569]",fear
anger,When one is unjustly accused of something one has not done. ,anger,anger,anger,guilt,"[0.8474068, 0.6545974, 0.82384914, 0.7447044, 0.010050903, 0.7811212, 0.7292806]","[0.90042084, 0.5820586, 0.79028445, 0.07075855, 0.0012679385, 0.83404815, 0.66778713]","[0.8976857, 0.5379379, 0.89404845, 0.729918, 0.00088061247, 0.79012877, 0.76743263]","[0.84323204, 0.672852, 0.85473675, 0.90067637, 0.0012271935, 0.7653359, 0.7882671]",anger
sadness,When one's studies seem hopelessly difficult and uninteresting. ,sadness,sadness,sadness,sadness,"[0.29758376, 0.45489928, 0.35698166, 0.22580802, 0.004295762, 0.6382119, 0.14818646]","[0.27504086, 0.57712436, 0.57496333, 0.2110543, 0.001277823, 0.9298409, 0.3764842]","[0.61709386, 0.6553433, 0.88699836, 0.23045012, 0.00079314655, 0.90949094, 0.2606749]","[0.366851, 0.53386545, 0.35418367, 0.2794278, 0.001019581, 0.8870067, 0.43384364]",sadness
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",sadness,guilt,disgust,disgust,"[0.7567987, 0.68959814, 0.76559687, 0.75610113, 0.007131537, 0.8238977, 0.6758763]","[0.73766947, 0.8495822, 0.77288514, 0.8542019, 0.0016140583, 0.81117004, 0.8433272]","[0.8340072, 0.84981215, 0.6557518, 0.43804199, 0.0010279312, 0.8202147, 0.6606995]","[0.645097, 0.81196225, 0.5380813, 0.76525754, 0.01505321, 0.699187, 0.80774254]",disgust
shame,"When one has been unjust, stupid towards someone else. ",guilt,guilt,guilt,guilt,"[0.70232636, 0.78793573, 0.35725355, 0.94792724, 0.008493399, 0.74084455, 0.8850328]","[0.94194406, 0.8676268, 0.25694928, 0.9826659, 0.001937424, 0.62148434, 0.9197998]","[0.7570701, 0.5887068, 0.46795303, 0.8883574, 0.0016830147, 0.44392267, 0.77922046]","[0.6701955, 0.75183856, 0.24690379, 0.88856417, 0.002130422, 0.37220544, 0.7537094]",guilt
guilt,When one has neglected or been unjust to a good friend. ,guilt,guilt,guilt,guilt,"[0.7533417, 0.7030204, 0.46884862, 0.9351054, 0.011852757, 0.8421088, 0.8836075]","[0.8504623, 0.75166893, 0.4048906, 0.9829752, 0.002610458, 0.9238301, 0.9213404]","[0.8781872, 0.77653086, 0.72635674, 0.91147226, 0.00094790035, 0.8274601, 0.8423795]","[0.771263, 0.7809692, 0.5908636, 0.93438524, 0.0014674879, 0.84708667, 0.82275075]",guilt
joy,Passing an exam I did not expect to pass. ,joy,fear,fear,joy,"[0.17098425, 0.028779188, 0.25218368, 0.2651728, 0.8648914, 0.034763753, 0.012330304]","[0.12617348, 0.023401134, 0.83162713, 0.27135915, 0.81305546, 0.012182251, 0.00430164]","[0.46701744, 0.022162978, 0.9814403, 0.27849495, 0.9538388, 0.025014956, 0.019867906]","[0.47243452, 0.14196731, 0.6231775, 0.38880312, 0.8942795, 0.2481862, 0.06536632]",joy
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,fear,fear,fear,fear,"[0.4624823, 0.42267415, 0.7067219, 0.43898377, 0.17043258, 0.54897344, 0.3900882]","[0.4609721, 0.459695, 0.81961685, 0.63728285, 0.18533759, 0.6311518, 0.61879283]","[0.7292525, 0.37189418, 0.9495121, 0.6090036, 0.60622746, 0.8162096, 0.5387719]","[0.5601064, 0.58936, 0.8441073, 0.71038955, 0.19128665, 0.69778746, 0.67132396]",fear
guilt,When excuses are necessary and I get out of doing it myself. ,fear,fear,fear,guilt,"[0.16966575, 0.2745461, 0.7101122, 0.48635146, 0.010937585, 0.3587816, 0.12995532]","[0.06325687, 0.14268334, 0.54917246, 0.25566468, 0.0030666867, 0.11528872, 0.11953879]","[0.16490154, 0.07342713, 0.97896326, 0.38603306, 0.028188085, 0.14225471, 0.54128844]","[0.17815633, 0.14268647, 0.53189874, 0.55321914, 0.015462369, 0.29799643, 0.21472956]",fear
joy,When I had my children. ,joy,joy,fear,joy,"[0.11725129, 0.05697344, 0.2220713, 0.23488063, 0.6975551, 0.040261205, 0.056426127]","[0.16387838, 0.04338427, 0.19108388, 0.35736105, 0.8218831, 0.19389853, 0.12178662]","[0.45031592, 0.03326902, 0.97724086, 0.490637, 0.8883224, 0.49929833, 0.2867404]","[0.12945718, 0.021297477, 0.3592283, 0.46723616, 0.9221229, 0.46080193, 0.19640088]",joy
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,fear,guilt,guilt,guilt,"[0.4587209, 0.29827172, 0.68441176, 0.59484226, 0.26879644, 0.43387756, 0.2571409]","[0.5538154, 0.49466324, 0.82615983, 0.85892373, 0.13066499, 0.36243945, 0.69868714]","[0.77890825, 0.4210067, 0.7656516, 0.7973448, 0.5126231, 0.72276694, 0.40898412]","[0.5665048, 0.6834857, 0.7200584, 0.84495676, 0.47899064, 0.33795673, 0.7167286]",guilt
