labels,text,emo_s,prob_emo_s,emotion_word,prob_max
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly. ,joy,"[0.7913512587547302, 0.9104437828063965, 0.744845449924469, 0.9710473418235779, 0.9886385798454285, 0.6153260469436646, 0.9668117761611938]",happy,0.9886385798454285
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death. ",fear,"[0.8536754250526428, 0.9198343753814697, 0.9636583924293518, 0.776696503162384, 0.032807089388370514, 0.9577845931053162, 0.5163606405258179]",anxiety,0.9636583924293518
anger,When I had been obviously unjustly treated and had no possibility of elucidating this. ,disgust,"[0.7855855822563171, 0.9482440948486328, 0.8316530585289001, 0.9191843867301941, 0.052602119743824005, 0.7380313873291016, 0.6263253092765808]",repugnance,0.9482440948486328
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time. ,guilt,"[0.7531748414039612, 0.8063731789588928, 0.6376994848251343, 0.9549112319946289, 0.17373965680599213, 0.8851884007453918, 0.6884613633155823]",regret,0.9549112319946289
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating. ,disgust,"[0.8588577508926392, 0.9424588084220886, 0.7943889498710632, 0.6915923953056335, 0.11326185613870621, 0.8127269148826599, 0.7123332023620605]",repugnance,0.9424588084220886
shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings. ,sadness,"[0.9505916237831116, 0.9720240235328674, 0.5219533443450928, 0.8270938992500305, 0.7755870819091797, 0.9752153158187866, 0.7917420268058777]",unhappy,0.9752153158187866
guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives. I feel very self-centered. ,guilt,"[0.293689101934433, 0.83278489112854, 0.38306692242622375, 0.8885185718536377, 0.189016655087471, 0.6609107255935669, 0.8793984055519104]",guilt,0.8885185718536377
joy,After my girlfriend had taken her exam we went to her parent's place. ,guilt,"[0.4670848548412323, 0.7275285720825195, 0.6012476086616516, 0.8697506785392761, 0.7077465653419495, 0.4357588291168213, 0.7824575901031494]",culpability,0.8697506785392761
fear,"When, for the first time I realized the meaning of death. ",sadness,"[0.21917858719825745, 0.6856294870376587, 0.6604329347610474, 0.3587115406990051, 0.5156137943267822, 0.8634834885597229, 0.351887971162796]",sadness,0.8634834885597229
anger,When a car is overtaking another and I am forced to drive off the road. ,fear,"[0.9149423837661743, 0.8633384108543396, 0.9269274473190308, 0.6277788281440735, 0.13878552615642548, 0.7170825004577637, 0.3852882385253906]",fear,0.9269274473190308
